preview_symbol,before_role,after_role,count_delta,world_delta,depth_delta,top_world_after,top_world_before,top_world_changed
dio_mcm_episode_1be1yef,new,nebenrolle,21,8,0.840642,FOLLOW_EQ10K_KAS_2024_5M,,0
dio_mcm_episode_1xo78p1,new,nebenrolle,21,5,0.805178,FOLLOW_EQ10K_DOGE_2024_5M,,0
dio_mcm_episode_14infzw,new,nebenrolle,19,5,0.700562,FOLLOW_EQ10K_DOGE_2024_5M,,0
dio_mcm_episode_0hlxzy4,nebenrolle,nebenrolle,18,1,-0.003589,FOLLOW_EQ10K_XLM_2024_5M,FOLLOW_EQ10K_XRP_2024_5M,1
dio_mcm_episode_0xg6rjf,new,nebenrolle,16,6,0.44487,FOLLOW_EQ10K_KAS_2024_5M,,0
dio_mcm_episode_0vmqpav,nebenrolle,nebenrolle,16,1,0.01807,FOLLOW_EQ10K_XLM_2024_5M,FOLLOW_EQ10K_XRP_2024_5M,1
dio_mcm_episode_07a7zoq,new,nebenrolle,15,6,0.851801,REAL_TIME_2024_BTC_5M,,0
dio_mcm_episode_0jk5x97,new,nebenrolle,15,6,0.619002,FOLLOW_EQ10K_XLM_2024_5M,,0
dio_mcm_episode_0bygq81,breite_grundrolle,breite_grundrolle,14,1,0.001205,FOLLOW_EQ10K_XRP_2024_5M,FOLLOW_EQ10K_XRP_2024_5M,0
dio_mcm_episode_16bqw8k,breite_grundrolle,breite_grundrolle,14,1,-0.00041,FOLLOW_EQ10K_DOGE_2024_5M,FOLLOW_EQ10K_DOGE_2024_5M,0
dio_mcm_episode_0v9h8bc,new,nebenrolle,13,6,0.819929,FOLLOW_EQ10K_KAS_2024_5M,,0
dio_mcm_episode_0wyzu1s,new,nebenrolle,12,8,0.450277,FOLLOW_EQ10K_KAS_2024_5M,,0
dio_mcm_episode_06eyd53,new,nebenrolle,12,7,0.862107,REAL_TIME_2024_BTC_5M,,0
dio_mcm_episode_0izppf1,nebenrolle,breite_grundrolle,11,1,-0.003156,FOLLOW_EQ10K_XRP_2024_5M,FOLLOW_EQ10K_XRP_2024_5M,0
dio_mcm_episode_1qv5i56,nebenrolle,nebenrolle,11,1,-0.0002,FOLLOW_EQ10K_XRP_2024_5M,FOLLOW_EQ10K_XRP_2024_5M,0
dio_mcm_episode_01jolqf,new,nebenrolle,10,8,0.438701,FOLLOW_EQ10K_DOGE_2024_5M,,0
dio_mcm_episode_023ecmg,new,nebenrolle,10,8,0.48985,FOLLOW_EQ10K_XRP_2024_5M,,0
dio_mcm_episode_08w107d,new,nebenrolle,10,8,0.477891,FOLLOW_EQ10K_XLM_2024_5M,,0
dio_mcm_episode_0f8b5wa,new,nebenrolle,10,8,0.432667,FOLLOW_EQ10K_KAS_2024_5M,,0
dio_mcm_episode_1tyoa8j,new,nebenrolle,10,8,0.616234,FOLLOW_EQ10K_XRP_2024_5M,,0
dio_mcm_episode_1qqk46w,new,nebenrolle,9,9,0.494182,BTC_1H_B,,0
dio_mcm_episode_019p01g,new,nebenrolle,9,8,0.444771,FOLLOW_EQ10K_XLM_2024_5M,,0
dio_mcm_episode_16hqn22,breite_grundrolle,breite_grundrolle,9,1,0.011044,FOLLOW_EQ10K_XRP_2024_5M,FOLLOW_EQ10K_XRP_2024_5M,0
dio_mcm_episode_16rq8r1,nebenrolle,nebenrolle,9,1,0.007603,FOLLOW_EQ10K_DOGE_2024_5M,FOLLOW_EQ10K_DOGE_2024_5M,0
dio_mcm_episode_171moy1,breite_grundrolle,breite_grundrolle,9,1,0.002867,FOLLOW_EQ10K_KAS_2024_5M,FOLLOW_EQ10K_KAS_2024_5M,0
dio_mcm_episode_127vzyf,new,nebenrolle,8,8,0.498884,BTC_10K_A,,0
dio_mcm_episode_169719n,new,nebenrolle,8,8,0.662204,BTC_STRESS_2025_5M,,0
dio_mcm_episode_0vidg3n,nebenrolle,nebenrolle,8,1,-0.003224,FOLLOW_EQ10K_XRP_2024_5M,FOLLOW_EQ10K_XRP_2024_5M,0
dio_mcm_episode_0wgvtdq,nebenrolle,nebenrolle,8,1,-0.031386,FOLLOW_EQ10K_XLM_2024_5M,FOLLOW_EQ10K_DOGE_2024_5M,1
dio_mcm_episode_1c8zokt,nebenrolle,nebenrolle,8,1,-0.005856,REAL_FOLLOW_DOGE_6000,REAL_FOLLOW_DOGE_6000,0
dio_mcm_episode_1i3ov0z,milieurolle,milieurolle,8,1,-0.000418,BTC_FIELD_QUIET_03,BTC_FIELD_QUIET_03,0
dio_mcm_episode_0s2q227,nebenrolle,nebenrolle,7,1,0.002959,FOLLOW_EQ10K_XRP_2024_5M,FOLLOW_EQ10K_XRP_2024_5M,0
dio_mcm_episode_0ws9wvs,nebenrolle,nebenrolle,7,1,-0.000745,FOLLOW_EQ10K_XRP_2024_5M,FOLLOW_EQ10K_XRP_2024_5M,0
dio_mcm_episode_02ixe4y,nebenrolle,nebenrolle,6,1,0.002526,FOLLOW_EQ10K_XLM_2024_5M,FOLLOW_EQ10K_XRP_2024_5M,1
dio_mcm_episode_1r085q1,nebenrolle,nebenrolle,6,1,0.008441,FOLLOW_EQ10K_XLM_2024_5M,FOLLOW_EQ10K_DOGE_2024_5M,1
dio_mcm_episode_1xlv7yw,nebenrolle,nebenrolle,6,1,-0.005977,FOLLOW_EQ10K_KAS_2024_5M,FOLLOW_EQ10K_KAS_2024_5M,0
dio_mcm_episode_010cqn6,nebenrolle,nebenrolle,5,1,-0.005753,FOLLOW_EQ10K_PAXG_2024_5M,FOLLOW_EQ10K_PAXG_2024_5M,0
dio_mcm_episode_0bb4ews,nebenrolle,nebenrolle,5,1,-0.002061,FOLLOW_EQ10K_XLM_2024_5M,FOLLOW_DOGE_2024_5M_2000,1
dio_mcm_episode_0tnueiv,nebenrolle,nebenrolle,5,1,-0.004099,DOGE_1H_B,DOGE_1H_B,0
dio_mcm_episode_0whyn34,nebenrolle,nebenrolle,5,1,-0.003016,FOLLOW_EQ10K_KAS_2024_5M,FOLLOW_EQ10K_KAS_2024_5M,0
dio_mcm_episode_0x60uui,nebenrolle,nebenrolle,5,1,0.000281,FOLLOW_XRP_2024_5M_2000,FOLLOW_XRP_2024_5M_2000,0
dio_mcm_episode_0xg0gjh,breite_grundrolle,breite_grundrolle,5,1,0.000904,FOLLOW_EQ10K_XRP_2024_5M,FOLLOW_EQ10K_XRP_2024_5M,0
dio_mcm_episode_16rn392,nebenrolle,nebenrolle,5,1,-0.003952,FOLLOW_EQ10K_XRP_2024_5M,FOLLOW_EQ10K_XRP_2024_5M,0
dio_mcm_episode_1y7uo9c,nebenrolle,nebenrolle,5,1,0.002516,FOLLOW_EQ10K_XRP_2024_5M,FOLLOW_EQ10K_XRP_2024_5M,0
dio_mcm_episode_01h2hhh,nebenrolle,nebenrolle,4,1,0.0004,FOLLOW_EQ10K_KAS_2024_5M,FOLLOW_EQ10K_KAS_2024_5M,0
dio_mcm_episode_0uie72q,nebenrolle,nebenrolle,4,1,-0.001748,FOLLOW_EQ10K_XRP_2024_5M,FOLLOW_EQ10K_XRP_2024_5M,0
dio_mcm_episode_0usdsrp,nebenrolle,nebenrolle,4,1,7e-06,FOLLOW_EQ10K_KAS_2024_5M,FOLLOW_EQ10K_KAS_2024_5M,0
dio_mcm_episode_0xsyn4p,nebenrolle,nebenrolle,4,1,-0.000557,FOLLOW_EQ10K_KAS_2024_5M,FOLLOW_EQ10K_KAS_2024_5M,0
dio_mcm_episode_0zm713b,nebenrolle,nebenrolle,4,1,-0.000268,FOLLOW_EQ10K_XLM_2024_5M,REAL_FOLLOW_XRP_6000,1
dio_mcm_episode_13e4mrt,nebenrolle,nebenrolle,4,1,-0.00043,FOLLOW_EQ10K_XLM_2024_5M,REAL_FOLLOW_SOL_6000,1
dio_mcm_episode_17i3weh,nebenrolle,nebenrolle,4,1,-0.001788,BTC_LONG_2024_5M_QUIET,BTC_LONG_2024_5M_QUIET,0
dio_mcm_episode_09ugoh7,nebenrolle,nebenrolle,3,1,-0.008501,SOL_10K_A,SOL_10K_A,0
dio_mcm_episode_0he6atw,nebenrolle,nebenrolle,3,1,-0.006546,BTC_LONG_2024_5M_QUIET,BTC_LONG_2024_5M_QUIET,0
dio_mcm_episode_0imu3z8,nebenrolle,nebenrolle,3,1,-0.000164,FOLLOW_EQ10K_XRP_2024_5M,FOLLOW_EQ10K_XRP_2024_5M,0
dio_mcm_episode_0nn6ri9,nebenrolle,nebenrolle,3,1,0.000103,BTC_1H_C,BTC_1H_C,0
dio_mcm_episode_0ycq6l6,nebenrolle,nebenrolle,3,1,-0.003867,BTC_1H_C,BTC_1H_C,0
dio_mcm_episode_1200bb0,nebenrolle,nebenrolle,3,1,0.001508,FOLLOW_EQ10K_XLM_2024_5M,REAL_FOLLOW_SOL_6000,1
dio_mcm_episode_12a9dhw,nebenrolle,nebenrolle,3,1,0.000508,FOLLOW_EQ10K_DOGE_2024_5M,FOLLOW_EQ10K_DOGE_2024_5M,0
dio_mcm_episode_16lqhxj,nebenrolle,nebenrolle,3,1,-0.000107,FOLLOW_EQ10K_XLM_2024_5M,BTC_10K_A,1
dio_mcm_episode_16nc9gj,nebenrolle,nebenrolle,3,1,-0.000237,BTC_1H_C,BTC_1H_C,0
dio_mcm_episode_1kwexso,nebenrolle,nebenrolle,3,1,0.004017,BTC_1H_C,BTC_1H_C,0
dio_mcm_episode_1xppyx0,nebenrolle,nebenrolle,3,1,0.006612,FOLLOW_EQ10K_XRP_2024_5M,FOLLOW_EQ10K_XRP_2024_5M,0
dio_mcm_episode_01116gq,nebenrolle,nebenrolle,2,1,-0.004044,FOLLOW_EQ10K_KAS_2024_5M,FOLLOW_EQ10K_KAS_2024_5M,0
dio_mcm_episode_08621v5,nebenrolle,nebenrolle,2,1,-0.006277,FOLLOW_EQ10K_DOGE_2024_5M,FOLLOW_EQ10K_DOGE_2024_5M,0
dio_mcm_episode_08q1993,nebenrolle,nebenrolle,2,1,0.007451,FOLLOW_EQ10K_XRP_2024_5M,FOLLOW_EQ10K_XRP_2024_5M,0
dio_mcm_episode_0v3gsdo,nebenrolle,nebenrolle,2,1,-6.2e-05,REAL_TIME_2023_SOL_ALTSEQ_A,REAL_TIME_2023_SOL_ALTSEQ_A,0
dio_mcm_episode_0vacb4t,nebenrolle,nebenrolle,2,1,0.000233,BTC_FIELD_QUIET_05,BTC_FIELD_QUIET_05,0
dio_mcm_episode_0vnrnvb,nebenrolle,nebenrolle,2,1,1.1e-05,BTC_STRESS_2025_5M,BTC_STRESS_2025_5M,0
dio_mcm_episode_0ycrjip,nebenrolle,nebenrolle,2,1,0.000835,FOLLOW_EQ10K_DOGE_2024_5M,FOLLOW_EQ10K_DOGE_2024_5M,0
dio_mcm_episode_1416rrs,nebenrolle,nebenrolle,2,1,-0.0113,BTC_STRESS_2025_5M,BTC_STRESS_2025_5M,0
dio_mcm_episode_16yidit,nebenrolle,nebenrolle,2,1,0.00016,FOLLOW_EQ10K_KAS_2024_5M,FOLLOW_EQ10K_KAS_2024_5M,0
dio_mcm_episode_1o136gs,nebenrolle,nebenrolle,2,1,-0.006004,FOLLOW_EQ10K_DOGE_2024_5M,FOLLOW_EQ10K_DOGE_2024_5M,0
dio_mcm_episode_01u58q5,nebenrolle,nebenrolle,1,1,-3e-05,FOLLOW_XRP_2024_5M_2000,FOLLOW_XRP_2024_5M_2000,0
dio_mcm_episode_08op00s,nebenrolle,nebenrolle,1,1,-0.003531,FOLLOW_EQ10K_XRP_2024_5M,FOLLOW_EQ10K_XRP_2024_5M,0
dio_mcm_episode_0v0cpfu,nebenrolle,nebenrolle,1,1,-0.000232,FOLLOW_EQ10K_KAS_2024_5M,FOLLOW_EQ10K_KAS_2024_5M,0
dio_mcm_episode_0v0uojh,nebenrolle,nebenrolle,1,1,-0.000141,FOLLOW_EQ10K_DOGE_2024_5M,FOLLOW_EQ10K_DOGE_2024_5M,0
dio_mcm_episode_0ww122h,nebenrolle,nebenrolle,1,1,-0.000139,FOLLOW_EQ10K_KAS_2024_5M,FOLLOW_EQ10K_KAS_2024_5M,0
dio_mcm_episode_11w0mrr,nebenrolle,nebenrolle,1,1,-0.009733,FOLLOW_EQ10K_KAS_2024_5M,FOLLOW_EQ10K_KAS_2024_5M,0
dio_mcm_episode_129zwzz,nebenrolle,nebenrolle,1,1,-0.000916,FOLLOW_EQ10K_DOGE_2024_5M,FOLLOW_EQ10K_DOGE_2024_5M,0
dio_mcm_episode_12fuh1y,nebenrolle,nebenrolle,1,1,0.003706,SOL_10K_A,SOL_10K_A,0
dio_mcm_episode_134512u,nebenrolle,nebenrolle,1,1,-0.000986,REAL_FOLLOW_DOGE_6000,REAL_FOLLOW_DOGE_6000,0
dio_mcm_episode_13yo8ly,nebenrolle,nebenrolle,1,1,-0.002551,BTC_1H_A,BTC_1H_A,0
dio_mcm_episode_1aejc9m,breite_grundrolle,breite_grundrolle,1,1,-0.000113,SOL_10K_A,SOL_10K_A,0
dio_mcm_episode_1ole1yf,nebenrolle,nebenrolle,1,1,-0.000354,FOLLOW_EQ10K_XRP_2024_5M,FOLLOW_EQ10K_XRP_2024_5M,0
dio_mcm_episode_1qmlwcr,nebenrolle,nebenrolle,1,1,-0.000826,FOLLOW_EQ10K_PAXG_2024_5M,FOLLOW_EQ10K_PAXG_2024_5M,0
dio_mcm_episode_1xdh0bk,nebenrolle,nebenrolle,1,1,-0.000581,FOLLOW_EQ10K_DOGE_2024_5M,FOLLOW_EQ10K_DOGE_2024_5M,0
dio_mcm_episode_1xngm0j,nebenrolle,nebenrolle,1,1,-0.000741,FOLLOW_EQ10K_DOGE_2024_5M,FOLLOW_EQ10K_DOGE_2024_5M,0
dio_mcm_episode_00svqqo,nebenrolle,nebenrolle,0,0,0.0,BTC_10K_A,BTC_10K_A,0
dio_mcm_episode_04jxate,nebenrolle,nebenrolle,0,0,0.0,DOGE_1H_A,DOGE_1H_A,0
dio_mcm_episode_084fgkp,nebenrolle,nebenrolle,0,0,0.0,BTC_FIELD_QUIET_03,BTC_FIELD_QUIET_03,0
dio_mcm_episode_094f7up,nebenrolle,nebenrolle,0,0,0.0,FOLLOW_EQ10K_XRP_2024_5M,FOLLOW_EQ10K_XRP_2024_5M,0
dio_mcm_episode_0a6jsal,nebenrolle,nebenrolle,0,0,0.0,FOLLOW_EQ10K_PAXG_2024_5M,FOLLOW_EQ10K_PAXG_2024_5M,0
dio_mcm_episode_0ca57t8,uebergangsrolle,uebergangsrolle,0,0,0.0,REAL_FOLLOW_PAXG_6000,REAL_FOLLOW_PAXG_6000,0
dio_mcm_episode_0d5sirp,nebenrolle,nebenrolle,0,0,0.0,BTC_FIELD_QUIET_02,BTC_FIELD_QUIET_02,0
dio_mcm_episode_0f95qzt,nebenrolle,nebenrolle,0,0,0.0,REAL_FOLLOW_SOL_6000,REAL_FOLLOW_SOL_6000,0
dio_mcm_episode_0f9q533,nebenrolle,nebenrolle,0,0,0.0,FOLLOW_DOGE_2024_5M_2000,FOLLOW_DOGE_2024_5M_2000,0
dio_mcm_episode_0g2f7e4,nebenrolle,nebenrolle,0,0,0.0,BTC_FIELD_QUIET_02,BTC_FIELD_QUIET_02,0
dio_mcm_episode_0goqj8y,nebenrolle,nebenrolle,0,0,0.0,REAL_TIME_2024_SOL_ALTSEQ_A,REAL_TIME_2024_SOL_ALTSEQ_A,0
dio_mcm_episode_0iiwvci,nebenrolle,nebenrolle,0,0,0.0,BTC_10K_A,BTC_10K_A,0
dio_mcm_episode_0m8cxz1,breite_grundrolle,breite_grundrolle,0,0,0.0,BTC_LONG_2025_5M_QUIET,BTC_LONG_2025_5M_QUIET,0
dio_mcm_episode_0mfdlry,nebenrolle,nebenrolle,0,0,0.0,BTC_SHIFT_2025_15M_16000_17000,BTC_SHIFT_2025_15M_16000_17000,0
dio_mcm_episode_0n6m7si,nebenrolle,nebenrolle,0,0,0.0,FOLLOW_EQ10K_XRP_2024_5M,FOLLOW_EQ10K_XRP_2024_5M,0
dio_mcm_episode_0nu3wih,breite_grundrolle,breite_grundrolle,0,0,0.0,QUIET_NEAR_PAXG2025_1H,QUIET_NEAR_PAXG2025_1H,0
dio_mcm_episode_0o47ti3,nebenrolle,nebenrolle,0,0,0.0,REAL_TIME_2024_SOL_ALTSEQ_A,REAL_TIME_2024_SOL_ALTSEQ_A,0
dio_mcm_episode_0ptcfn6,nebenrolle,nebenrolle,0,0,0.0,BTC_LONG_2025_5M_QUIET,BTC_LONG_2025_5M_QUIET,0
dio_mcm_episode_0qm3991,nebenrolle,nebenrolle,0,0,0.0,BTC_LONG_2025_5M_QUIET,BTC_LONG_2025_5M_QUIET,0
dio_mcm_episode_0rbjarj,milieurolle,milieurolle,0,0,0.0,REAL_FOLLOW_PAXG_6000,REAL_FOLLOW_PAXG_6000,0
dio_mcm_episode_0sscnvc,nebenrolle,nebenrolle,0,0,0.0,BTC_10K_A,BTC_10K_A,0
dio_mcm_episode_0tfzgic,breite_grundrolle,breite_grundrolle,0,0,0.0,REAL_TIME_2024_SOL_ALTSEQ_A,REAL_TIME_2024_SOL_ALTSEQ_A,0
dio_mcm_episode_0u7qgeu,nebenrolle,nebenrolle,0,0,0.0,FOLLOW_EQ10K_PAXG_2024_5M,FOLLOW_EQ10K_PAXG_2024_5M,0
dio_mcm_episode_0vig3jz,breite_grundrolle,breite_grundrolle,0,0,0.0,REAL_TIME_2024_PAXG,REAL_TIME_2024_PAXG,0
dio_mcm_episode_0wo0tz1,breite_grundrolle,breite_grundrolle,0,0,0.0,BTC_FIELD_QUIET_03,BTC_FIELD_QUIET_03,0
dio_mcm_episode_0wyfujk,nebenrolle,nebenrolle,0,0,0.0,FOLLOW_EQ10K_KAS_2024_5M,FOLLOW_EQ10K_KAS_2024_5M,0
dio_mcm_episode_0y53nyb,nebenrolle,nebenrolle,0,0,0.0,BTC_1H_B,BTC_1H_B,0
dio_mcm_episode_0y7hhur,nebenrolle,nebenrolle,0,0,0.0,REAL_TIME_2024_SOL_ALTSEQ_A,REAL_TIME_2024_SOL_ALTSEQ_A,0
dio_mcm_episode_0z1w5lo,nebenrolle,nebenrolle,0,0,0.0,BTC_1H_C,BTC_1H_C,0
dio_mcm_episode_10r2mum,milieurolle,milieurolle,0,0,0.0,PAXG_1846_A,PAXG_1846_A,0
dio_mcm_episode_12k5tow,nebenrolle,nebenrolle,0,0,0.0,FOLLOW_EQ10K_DOGE_2024_5M,FOLLOW_EQ10K_DOGE_2024_5M,0
dio_mcm_episode_13nf5kn,nebenrolle,nebenrolle,0,0,0.0,BTC_10K_A,BTC_10K_A,0
dio_mcm_episode_13vl4wk,nebenrolle,nebenrolle,0,0,0.0,BTC_STRESS_2024_5M,BTC_STRESS_2024_5M,0
dio_mcm_episode_14xx81a,milieurolle,milieurolle,0,0,0.0,REAL_FOLLOW_PAXG_6000,REAL_FOLLOW_PAXG_6000,0
dio_mcm_episode_159zeqh,nebenrolle,nebenrolle,0,0,0.0,REAL_TIME_2024_SOL_ALTSEQ_A,REAL_TIME_2024_SOL_ALTSEQ_A,0
dio_mcm_episode_18bzc1l,nebenrolle,nebenrolle,0,0,0.0,REAL_TIME_2024_SOL_ALTSEQ_A,REAL_TIME_2024_SOL_ALTSEQ_A,0
dio_mcm_episode_19h8lor,nebenrolle,nebenrolle,0,0,0.0,BTC_LONG_2025_5M_QUIET,BTC_LONG_2025_5M_QUIET,0
dio_mcm_episode_19ljsne,nebenrolle,nebenrolle,0,0,0.0,FOLLOW_EQ10K_DOGE_2024_5M,FOLLOW_EQ10K_DOGE_2024_5M,0
dio_mcm_episode_1avuyqc,nebenrolle,nebenrolle,0,0,0.0,REAL_TIME_2024_SOL_ALTSEQ_A,REAL_TIME_2024_SOL_ALTSEQ_A,0
dio_mcm_episode_1dpkuqy,nebenrolle,nebenrolle,0,0,0.0,BTC_10K_A,BTC_10K_A,0
dio_mcm_episode_1dxx3n8,nebenrolle,nebenrolle,0,0,0.0,REAL_TIME_2024_SOL_ALTSEQ_A,REAL_TIME_2024_SOL_ALTSEQ_A,0
dio_mcm_episode_1elnwvw,nebenrolle,nebenrolle,0,0,0.0,BTC_FIELD_QUIET_02,BTC_FIELD_QUIET_02,0
dio_mcm_episode_1f9nms9,nebenrolle,nebenrolle,0,0,0.0,BTC_10K_A,BTC_10K_A,0
dio_mcm_episode_1fdlu6e,breite_grundrolle,breite_grundrolle,0,0,0.0,REAL_TIME_2024_BTC_5M,REAL_TIME_2024_BTC_5M,0
dio_mcm_episode_1foqdcq,nebenrolle,nebenrolle,0,0,0.0,FOLLOW_EQ10K_XRP_2024_5M,FOLLOW_EQ10K_XRP_2024_5M,0
dio_mcm_episode_1fypz1p,nebenrolle,nebenrolle,0,0,0.0,FOLLOW_EQ10K_PAXG_2024_5M,FOLLOW_EQ10K_PAXG_2024_5M,0
dio_mcm_episode_1iwpq62,nebenrolle,nebenrolle,0,0,0.0,BTC_STRESS_2024_5M,BTC_STRESS_2024_5M,0
dio_mcm_episode_1kebzg8,nebenrolle,nebenrolle,0,0,0.0,FOLLOW_EQ10K_XRP_2024_5M,FOLLOW_EQ10K_XRP_2024_5M,0
dio_mcm_episode_1olmeud,nebenrolle,nebenrolle,0,0,0.0,BTC_FIELD_QUIET_05,BTC_FIELD_QUIET_05,0
dio_mcm_episode_1rzvh02,nebenrolle,nebenrolle,0,0,0.0,BTC_STRESS_2025_5M,BTC_STRESS_2025_5M,0
dio_mcm_episode_1ttt3xj,nebenrolle,nebenrolle,0,0,0.0,BTC_FIELD_QUIET_05,BTC_FIELD_QUIET_05,0
dio_mcm_episode_1u5i0pf,nebenrolle,nebenrolle,0,0,0.0,FOLLOW_XRP_2024_5M_2000,FOLLOW_XRP_2024_5M_2000,0
dio_mcm_episode_1xol2nw,nebenrolle,nebenrolle,0,0,0.0,FOLLOW_EQ10K_DOGE_2024_5M,FOLLOW_EQ10K_DOGE_2024_5M,0
dio_mcm_episode_1ymlx26,nebenrolle,nebenrolle,0,0,0.0,FOLLOW_PAXG_2024_5M_2000,FOLLOW_PAXG_2024_5M_2000,0
