token,short_token,anchor_class,total_weight,max_world_span,weighted_duration,edge_count,outside_bridge_edges,bridge_to_bridge_edges,bidirectional_neighbors,incoming_neighbors,outgoing_neighbors,path_class,movement,base_zone,follow_zone,base_role,follow_role,dominant_edge_kind,edge_kind_profile,dominant_exit_phase,phase_profile,relation_profile,in_known_core_pair,known_core_pairs
dio_mcm_episode_0jbl5pq,0jbl5pq,brueckenkern,31,6,2.548387,10,8,2,1,6,3,brueckenpfad,stabil,hoeherer_cluster_uebergang,hoeherer_cluster_uebergang,zentrum_stabil,zentrum_stabil,aussen_zu_bruecke,aussen_zu_bruecke:6; bruecke_zu_bruecke:2; bruecke_zu_aussen:2,oeffnend_belastender_austritt,oeffnend_belastender_austritt:5; rekoppelnder_austritt:3; gemischter_austritt:2,eintritt:7; austritt:3,1,1
dio_mcm_episode_18n06fj,18n06fj,brueckenkern,30,5,5.366667,5,3,2,0,3,1,brueckenpfad,reifung_oder_verdichtung,stabile_bedeutungsinsel,hoeherer_cluster_uebergang,zentrum_stabil,zentrum_stabil,aussen_zu_bruecke,aussen_zu_bruecke:3; bruecke_zu_bruecke:2,oeffnend_belastender_austritt,oeffnend_belastender_austritt:3; rekoppelnder_austritt:2,eintritt:4; austritt:1,1,1
dio_mcm_episode_0z748ck,0z748ck,brueckenkern,26,5,9.153846,6,2,4,0,2,2,brueckenpfad,reifung_oder_verdichtung,stabile_bedeutungsinsel,hoeherer_cluster_uebergang,zentrum_stabil,zentrum_stabil,bruecke_zu_bruecke,bruecke_zu_bruecke:4; aussen_zu_bruecke:1; bruecke_zu_aussen:1,gemischter_austritt,gemischter_austritt:3; rekoppelnder_austritt:2; oeffnend_belastender_austritt:1,austritt:3; eintritt:3,1,2
dio_mcm_episode_0db07p4,0db07p4,brueckenkern,23,3,56.956522,8,4,4,2,4,2,brueckenpfad,reifung_oder_verdichtung,stabile_bedeutungsinsel,hoeherer_cluster_uebergang,zentrum_stabil,zentrum_stabil,bruecke_zu_bruecke,bruecke_zu_bruecke:4; aussen_zu_bruecke:3; bruecke_zu_aussen:1,rekoppelnder_austritt,rekoppelnder_austritt:6; oeffnend_belastender_austritt:2,eintritt:5; austritt:3,1,1
dio_mcm_episode_02ujuqf,02ujuqf,brueckenkern,9,3,139.444444,5,3,2,0,3,1,brueckenpfad,reifung_oder_verdichtung,hoeherer_cluster_uebergang,rekopplungszone,zentrum_stabil,zentrum_stabil,aussen_zu_bruecke,aussen_zu_bruecke:3; bruecke_zu_bruecke:2,oeffnend_belastender_austritt,oeffnend_belastender_austritt:4; rekoppelnder_austritt:1,eintritt:4; austritt:1,1,1
dio_mcm_episode_1jwnjz4,1jwnjz4,starker_anschlussanker,59,4,94.762712,4,4,0,2,2,2,stabile_insel,stabil,stabile_bedeutungsinsel,stabile_bedeutungsinsel,zentrum_stabil,zentrum_stabil,bruecke_zu_aussen,bruecke_zu_aussen:2; aussen_zu_bruecke:2,oeffnend_belastender_austritt,oeffnend_belastender_austritt:2; rekoppelnder_austritt:1; gemischter_austritt:1,austritt:2; eintritt:2,0,0
dio_mcm_episode_0ybr5e3,0ybr5e3,starker_anschlussanker,41,1,112.365854,6,6,0,3,3,3,stabile_insel,stabil,stabile_bedeutungsinsel,stabile_bedeutungsinsel,zentrum_stabil,zentrum_stabil,bruecke_zu_aussen,bruecke_zu_aussen:3; aussen_zu_bruecke:3,rekoppelnder_austritt,rekoppelnder_austritt:3; oeffnend_belastender_austritt:2; gemischter_austritt:1,austritt:3; eintritt:3,0,0
dio_mcm_episode_1q3us3f,1q3us3f,starker_anschlussanker,39,5,59.589744,4,4,0,2,2,2,rekoppelnder_pfad,reifung_oder_verdichtung,stabile_bedeutungsinsel,rekopplungszone,zentrum_stabil,zentrum_stabil,bruecke_zu_aussen,bruecke_zu_aussen:2; aussen_zu_bruecke:2,rekoppelnder_austritt,rekoppelnder_austritt:2; gemischter_austritt:1; oeffnend_belastender_austritt:1,austritt:2; eintritt:2,0,0
dio_mcm_episode_1ahj81f,1ahj81f,starker_anschlussanker,30,5,15.066667,4,4,0,2,2,2,stabile_insel,stabil,stabile_bedeutungsinsel,stabile_bedeutungsinsel,zentrum_stabil,zentrum_stabil,aussen_zu_bruecke,aussen_zu_bruecke:2; bruecke_zu_aussen:2,oeffnend_belastender_austritt,oeffnend_belastender_austritt:2; rekoppelnder_austritt:2,eintritt:2; austritt:2,0,0
dio_mcm_episode_0geqqo3,0geqqo3,lokaler_anschlussanker,22,2,45.227273,4,4,0,2,2,2,-,-,-,-,-,-,aussen_zu_bruecke,aussen_zu_bruecke:2; bruecke_zu_aussen:2,oeffnend_belastender_austritt,oeffnend_belastender_austritt:3; rekoppelnder_austritt:1,eintritt:2; austritt:2,0,0
dio_mcm_episode_0w4x7xs,0w4x7xs,lokaler_anschlussanker,18,2,50.500000,3,3,0,1,2,1,stabile_insel,stabil,stabile_bedeutungsinsel,stabile_bedeutungsinsel,zentrum_stabil,zentrum_stabil,bruecke_zu_aussen,bruecke_zu_aussen:2; aussen_zu_bruecke:1,oeffnend_belastender_austritt,oeffnend_belastender_austritt:2; rekoppelnder_austritt:1,austritt:2; eintritt:1,0,0
dio_mcm_episode_077r0df,077r0df,lokaler_anschlussanker,16,3,10.000000,2,2,0,1,1,1,rekoppelnder_pfad,reifung_oder_verdichtung,rekopplungszone,stabile_bedeutungsinsel,zentrum_stabil,zentrum_stabil,aussen_zu_bruecke,aussen_zu_bruecke:1; bruecke_zu_aussen:1,rekoppelnder_austritt,rekoppelnder_austritt:2,eintritt:1; austritt:1,0,0
dio_mcm_episode_0wjn8vm,0wjn8vm,lokaler_anschlussanker,14,2,310.285714,6,6,0,2,3,3,brueckenpfad,stabil,hoeherer_cluster_uebergang,hoeherer_cluster_uebergang,zentrum_stabil,zentrum_stabil,bruecke_zu_aussen,bruecke_zu_aussen:3; aussen_zu_bruecke:3,oeffnend_belastender_austritt,oeffnend_belastender_austritt:4; rekoppelnder_austritt:1; gemischter_austritt:1,austritt:3; eintritt:3,0,0
dio_mcm_episode_1al8fjz,1al8fjz,lokaler_anschlussanker,14,4,1.571429,8,8,0,1,5,3,brueckenpfad,reifung_oder_verdichtung,hoeherer_cluster_uebergang,stabile_bedeutungsinsel,zentrum_stabil,zentrum_stabil,aussen_zu_bruecke,aussen_zu_bruecke:5; bruecke_zu_aussen:3,rekoppelnder_austritt,rekoppelnder_austritt:6; oeffnend_belastender_austritt:2,eintritt:5; austritt:3,0,0
dio_mcm_episode_14l8khu,14l8khu,lokaler_anschlussanker,13,2,37.461539,2,2,0,1,1,1,offener_driftpfad,oeffnung_oder_drift,hoeherer_cluster_uebergang,driftzone,zentrum_stabil,offene_variante,bruecke_zu_aussen,bruecke_zu_aussen:1; aussen_zu_bruecke:1,rekoppelnder_austritt,rekoppelnder_austritt:2,austritt:1; eintritt:1,0,0
dio_mcm_episode_1eju9g0,1eju9g0,schwacher_anschluss,20,1,42.150000,2,2,0,1,1,1,stabile_insel,stabil,stabile_bedeutungsinsel,stabile_bedeutungsinsel,zentrum_stabil,zentrum_stabil,aussen_zu_bruecke,aussen_zu_bruecke:1; bruecke_zu_aussen:1,rekoppelnder_austritt,rekoppelnder_austritt:2,eintritt:1; austritt:1,0,0
dio_mcm_episode_1hdpu9s,1hdpu9s,schwacher_anschluss,11,3,18.727273,2,2,0,1,1,1,stabile_insel,stabil,stabile_bedeutungsinsel,stabile_bedeutungsinsel,zentrum_stabil,zentrum_stabil,aussen_zu_bruecke,aussen_zu_bruecke:1; bruecke_zu_aussen:1,oeffnend_belastender_austritt,oeffnend_belastender_austritt:2,eintritt:1; austritt:1,0,0
dio_mcm_episode_0dgle71,0dgle71,schwacher_anschluss,10,1,60.400000,2,2,0,1,1,1,stabile_insel,stabil,stabile_bedeutungsinsel,stabile_bedeutungsinsel,zentrum_stabil,zentrum_stabil,aussen_zu_bruecke,aussen_zu_bruecke:1; bruecke_zu_aussen:1,rekoppelnder_austritt,rekoppelnder_austritt:2,eintritt:1; austritt:1,0,0
dio_mcm_episode_0hjnwsk,0hjnwsk,schwacher_anschluss,10,4,2.600000,2,2,0,0,1,1,offener_driftpfad,oeffnung_oder_drift,hoeherer_cluster_uebergang,driftzone,zentrum_stabil,offene_variante,aussen_zu_bruecke,aussen_zu_bruecke:1; bruecke_zu_aussen:1,rekoppelnder_austritt,rekoppelnder_austritt:2,eintritt:1; austritt:1,0,0
dio_mcm_episode_05lquqm,05lquqm,schwacher_anschluss,10,1,1.200000,10,10,0,1,5,5,brueckenpfad,reifung_oder_verdichtung,hoeherer_cluster_uebergang,rekopplungszone,zentrum_stabil,zentrum_stabil,aussen_zu_bruecke,aussen_zu_bruecke:5; bruecke_zu_aussen:5,rekoppelnder_austritt,rekoppelnder_austritt:8; oeffnend_belastender_austritt:2,eintritt:5; austritt:5,0,0
dio_mcm_episode_1engxbn,1engxbn,schwacher_anschluss,9,2,242.333333,2,2,0,1,1,1,rekoppelnder_pfad,stabil,rekopplungszone,rekopplungszone,zentrum_stabil,zentrum_stabil,bruecke_zu_aussen,bruecke_zu_aussen:1; aussen_zu_bruecke:1,oeffnend_belastender_austritt,oeffnend_belastender_austritt:2,austritt:1; eintritt:1,0,0
dio_mcm_episode_1i1sl4l,1i1sl4l,schwacher_anschluss,9,2,3.555555,4,4,0,2,2,2,-,-,-,-,-,-,aussen_zu_bruecke,aussen_zu_bruecke:2; bruecke_zu_aussen:2,oeffnend_belastender_austritt,oeffnend_belastender_austritt:2; rekoppelnder_austritt:2,eintritt:2; austritt:2,0,0
dio_mcm_episode_0lne9ax,0lne9ax,schwacher_anschluss,6,6,3.000000,1,1,0,0,0,1,offener_driftpfad,reifung_oder_verdichtung,driftzone,hoeherer_cluster_uebergang,zentrum_stabil,zentrum_stabil,aussen_zu_bruecke,aussen_zu_bruecke:1,oeffnend_belastender_austritt,oeffnend_belastender_austritt:1,eintritt:1,0,0
dio_mcm_episode_0mw7rev,0mw7rev,schwacher_anschluss,5,2,669.200000,3,3,0,0,3,0,randpfad,stabil,randnahe_verdichtung,randnahe_verdichtung,spannungsrand_kippnaehe,spannungsrand_kippnaehe,bruecke_zu_aussen,bruecke_zu_aussen:3,oeffnend_belastender_austritt,oeffnend_belastender_austritt:3,austritt:3,0,0
dio_mcm_episode_0mm85pw,0mm85pw,schwacher_anschluss,5,2,655.600000,3,3,0,0,3,0,randpfad,stabil,randnahe_verdichtung,randnahe_verdichtung,spannungsrand_kippnaehe,spannungsrand_kippnaehe,bruecke_zu_aussen,bruecke_zu_aussen:3,oeffnend_belastender_austritt,oeffnend_belastender_austritt:3,austritt:3,0,0
dio_mcm_episode_1t42af6,1t42af6,schwacher_anschluss,4,2,312.250000,2,2,0,1,1,1,stabile_insel,stabil,stabile_bedeutungsinsel,stabile_bedeutungsinsel,zentrum_stabil,zentrum_stabil,aussen_zu_bruecke,aussen_zu_bruecke:1; bruecke_zu_aussen:1,oeffnend_belastender_austritt,oeffnend_belastender_austritt:1; gemischter_austritt:1,eintritt:1; austritt:1,0,0
dio_mcm_episode_01s42m6,01s42m6,schwacher_anschluss,4,2,161.750000,2,2,0,1,1,1,offener_driftpfad,oeffnung_oder_drift,stabile_bedeutungsinsel,driftzone,zentrum_stabil,zentrum_stabil,aussen_zu_bruecke,aussen_zu_bruecke:1; bruecke_zu_aussen:1,oeffnend_belastender_austritt,oeffnend_belastender_austritt:1; rekoppelnder_austritt:1,eintritt:1; austritt:1,0,0
dio_mcm_episode_1y2gc2i,1y2gc2i,schwacher_anschluss,4,4,2.000000,1,1,0,0,1,0,rekoppelnder_pfad,reifung_oder_verdichtung,driftzone,stabile_bedeutungsinsel,zentrum_stabil,zentrum_stabil,bruecke_zu_aussen,bruecke_zu_aussen:1,rekoppelnder_austritt,rekoppelnder_austritt:1,austritt:1,0,0
dio_mcm_episode_1k0rrn2,1k0rrn2,schwacher_anschluss,4,2,1.000000,2,2,0,1,1,1,-,-,-,-,-,-,aussen_zu_bruecke,aussen_zu_bruecke:1; bruecke_zu_aussen:1,rekoppelnder_austritt,rekoppelnder_austritt:1; oeffnend_belastender_austritt:1,eintritt:1; austritt:1,0,0
dio_mcm_episode_1pmt8u2,1pmt8u2,schwacher_anschluss,3,1,714.000000,3,3,0,0,3,0,offener_driftpfad,oeffnung_oder_drift,rekopplungszone,offene_bedeutungszone,zentrum_stabil,zentrum_stabil,bruecke_zu_aussen,bruecke_zu_aussen:3,rekoppelnder_austritt,rekoppelnder_austritt:3,austritt:3,0,0
dio_mcm_episode_1ds636q,1ds636q,schwacher_anschluss,3,2,41.000000,2,2,0,1,1,1,-,-,-,-,-,-,aussen_zu_bruecke,aussen_zu_bruecke:1; bruecke_zu_aussen:1,oeffnend_belastender_austritt,oeffnend_belastender_austritt:1; rekoppelnder_austritt:1,eintritt:1; austritt:1,0,0
dio_mcm_episode_10b8y4e,10b8y4e,schwacher_anschluss,3,2,16.666667,2,2,0,0,0,2,-,-,-,-,-,-,aussen_zu_bruecke,aussen_zu_bruecke:2,rekoppelnder_austritt,rekoppelnder_austritt:1; oeffnend_belastender_austritt:1,eintritt:2,0,0
dio_mcm_episode_0tph7s0,0tph7s0,schwacher_anschluss,2,1,600.000000,2,2,0,0,1,1,junge_oberflaeche,verjuengung_oberflaeche,driftzone,junge_spur,zentrum_stabil,zentrum_stabil,aussen_zu_bruecke,aussen_zu_bruecke:1; bruecke_zu_aussen:1,rekoppelnder_austritt,rekoppelnder_austritt:1; oeffnend_belastender_austritt:1,eintritt:1; austritt:1,0,0
dio_mcm_episode_0v5p8er,0v5p8er,schwacher_anschluss,2,1,596.500000,2,2,0,1,1,1,offener_driftpfad,oeffnung_oder_drift,hoeherer_cluster_uebergang,driftzone,zentrum_stabil,offene_variante,aussen_zu_bruecke,aussen_zu_bruecke:1; bruecke_zu_aussen:1,gemischter_austritt,gemischter_austritt:1; oeffnend_belastender_austritt:1,eintritt:1; austritt:1,0,0
dio_mcm_episode_0li6lg1,0li6lg1,schwacher_anschluss,2,1,243.000000,2,2,0,0,2,0,-,-,-,-,-,-,bruecke_zu_aussen,bruecke_zu_aussen:2,oeffnend_belastender_austritt,oeffnend_belastender_austritt:2,austritt:2,0,0
dio_mcm_episode_0fljihc,0fljihc,schwacher_anschluss,2,1,100.000000,2,2,0,0,2,0,-,-,-,-,-,-,bruecke_zu_aussen,bruecke_zu_aussen:2,oeffnend_belastender_austritt,oeffnend_belastender_austritt:2,austritt:2,0,0
dio_mcm_episode_1qqnvqf,1qqnvqf,schwacher_anschluss,2,2,41.500000,1,1,0,0,0,1,rekoppelnder_pfad,reifung_oder_verdichtung,driftzone,rekopplungszone,zentrum_stabil,zentrum_stabil,aussen_zu_bruecke,aussen_zu_bruecke:1,oeffnend_belastender_austritt,oeffnend_belastender_austritt:1,eintritt:1,0,0
dio_mcm_episode_0w9dwz3,0w9dwz3,schwacher_anschluss,2,2,26.500000,1,1,0,0,0,1,rekoppelnder_pfad,stabil,rekopplungszone,rekopplungszone,zentrum_stabil,zentrum_stabil,aussen_zu_bruecke,aussen_zu_bruecke:1,rekoppelnder_austritt,rekoppelnder_austritt:1,eintritt:1,0,0
dio_mcm_episode_06ccuqv,06ccuqv,schwacher_anschluss,2,2,2.000000,1,1,0,0,0,1,offener_driftpfad,oeffnung_oder_drift,junge_spur,offene_bedeutungszone,zentrum_stabil,zentrum_stabil,aussen_zu_bruecke,aussen_zu_bruecke:1,rekoppelnder_austritt,rekoppelnder_austritt:1,eintritt:1,0,0
dio_mcm_episode_1n9f8vr,1n9f8vr,schwacher_anschluss,2,1,2.000000,2,2,0,0,1,1,-,-,-,-,-,-,aussen_zu_bruecke,aussen_zu_bruecke:1; bruecke_zu_aussen:1,gemischter_austritt,gemischter_austritt:1; rekoppelnder_austritt:1,eintritt:1; austritt:1,0,0
dio_mcm_episode_0jlkrep,0jlkrep,schwacher_anschluss,2,1,1.000000,2,2,0,1,1,1,-,-,-,-,-,-,aussen_zu_bruecke,aussen_zu_bruecke:1; bruecke_zu_aussen:1,oeffnend_belastender_austritt,oeffnend_belastender_austritt:2,eintritt:1; austritt:1,0,0
dio_mcm_episode_1b3r4if,1b3r4if,schwacher_anschluss,2,1,1.000000,2,2,0,1,1,1,rekoppelnder_pfad,stabil,rekopplungszone,rekopplungszone,zentrum_stabil,zentrum_stabil,aussen_zu_bruecke,aussen_zu_bruecke:1; bruecke_zu_aussen:1,rekoppelnder_austritt,rekoppelnder_austritt:2,eintritt:1; austritt:1,0,0
dio_mcm_episode_1jansx7,1jansx7,schwacher_anschluss,1,1,2016.000000,1,1,0,0,1,0,offener_driftpfad,oeffnung_oder_drift,junge_spur,driftzone,offene_variante,offene_variante,bruecke_zu_aussen,bruecke_zu_aussen:1,oeffnend_belastender_austritt,oeffnend_belastender_austritt:1,austritt:1,0,0
dio_mcm_episode_0jzhgzp,0jzhgzp,schwacher_anschluss,1,1,2003.000000,1,1,0,0,1,0,-,-,-,-,-,-,bruecke_zu_aussen,bruecke_zu_aussen:1,oeffnend_belastender_austritt,oeffnend_belastender_austritt:1,austritt:1,0,0
dio_mcm_episode_13cw75j,13cw75j,schwacher_anschluss,1,1,1842.000000,1,1,0,0,1,0,-,-,-,-,-,-,bruecke_zu_aussen,bruecke_zu_aussen:1,oeffnend_belastender_austritt,oeffnend_belastender_austritt:1,austritt:1,0,0
dio_mcm_episode_1jaecfa,1jaecfa,schwacher_anschluss,1,1,1245.000000,1,1,0,0,1,0,-,-,-,-,-,-,bruecke_zu_aussen,bruecke_zu_aussen:1,oeffnend_belastender_austritt,oeffnend_belastender_austritt:1,austritt:1,0,0
dio_mcm_episode_19w9kxc,19w9kxc,schwacher_anschluss,1,1,1119.000000,1,1,0,0,1,0,-,-,-,-,-,-,bruecke_zu_aussen,bruecke_zu_aussen:1,oeffnend_belastender_austritt,oeffnend_belastender_austritt:1,austritt:1,0,0
dio_mcm_episode_17eveju,17eveju,schwacher_anschluss,1,1,931.000000,1,1,0,0,1,0,-,-,-,-,-,-,bruecke_zu_aussen,bruecke_zu_aussen:1,rekoppelnder_austritt,rekoppelnder_austritt:1,austritt:1,0,0
dio_mcm_episode_14k61ms,14k61ms,schwacher_anschluss,1,1,917.000000,1,1,0,0,1,0,junge_oberflaeche,stabil,junge_spur,junge_spur,offene_variante,offene_variante,bruecke_zu_aussen,bruecke_zu_aussen:1,oeffnend_belastender_austritt,oeffnend_belastender_austritt:1,austritt:1,0,0
dio_mcm_episode_0zh3u1j,0zh3u1j,schwacher_anschluss,1,1,832.000000,1,1,0,0,0,1,-,-,-,-,-,-,aussen_zu_bruecke,aussen_zu_bruecke:1,oeffnend_belastender_austritt,oeffnend_belastender_austritt:1,eintritt:1,0,0
dio_mcm_episode_15cyz2v,15cyz2v,schwacher_anschluss,1,1,757.000000,1,1,0,0,1,0,-,-,-,-,-,-,bruecke_zu_aussen,bruecke_zu_aussen:1,oeffnend_belastender_austritt,oeffnend_belastender_austritt:1,austritt:1,0,0
dio_mcm_episode_19dxnmz,19dxnmz,schwacher_anschluss,1,1,581.000000,1,1,0,0,1,0,-,-,-,-,-,-,bruecke_zu_aussen,bruecke_zu_aussen:1,oeffnend_belastender_austritt,oeffnend_belastender_austritt:1,austritt:1,0,0
dio_mcm_episode_0t7i6fh,0t7i6fh,schwacher_anschluss,1,1,578.000000,1,1,0,0,1,0,-,-,-,-,-,-,bruecke_zu_aussen,bruecke_zu_aussen:1,oeffnend_belastender_austritt,oeffnend_belastender_austritt:1,austritt:1,0,0
dio_mcm_episode_1hdvp5m,1hdvp5m,schwacher_anschluss,1,1,532.000000,1,1,0,0,1,0,-,-,-,-,-,-,bruecke_zu_aussen,bruecke_zu_aussen:1,oeffnend_belastender_austritt,oeffnend_belastender_austritt:1,austritt:1,0,0
dio_mcm_episode_0k7ekcr,0k7ekcr,schwacher_anschluss,1,1,455.000000,1,1,0,0,1,0,-,-,-,-,-,-,bruecke_zu_aussen,bruecke_zu_aussen:1,oeffnend_belastender_austritt,oeffnend_belastender_austritt:1,austritt:1,0,0
dio_mcm_episode_17c7qwp,17c7qwp,schwacher_anschluss,1,1,375.000000,1,1,0,0,0,1,stabile_insel,stabil,stabile_bedeutungsinsel,stabile_bedeutungsinsel,zentrum_stabil,zentrum_stabil,aussen_zu_bruecke,aussen_zu_bruecke:1,gemischter_austritt,gemischter_austritt:1,eintritt:1,0,0
dio_mcm_episode_00nzcuc,00nzcuc,schwacher_anschluss,1,1,353.000000,1,1,0,0,0,1,-,-,-,-,-,-,aussen_zu_bruecke,aussen_zu_bruecke:1,rekoppelnder_austritt,rekoppelnder_austritt:1,eintritt:1,0,0
dio_mcm_episode_0d40zcv,0d40zcv,schwacher_anschluss,1,1,88.000000,1,1,0,0,0,1,-,-,-,-,-,-,aussen_zu_bruecke,aussen_zu_bruecke:1,gemischter_austritt,gemischter_austritt:1,eintritt:1,0,0
dio_mcm_episode_1f4jh6c,1f4jh6c,schwacher_anschluss,1,1,76.000000,1,1,0,0,0,1,junge_oberflaeche,verjuengung_oberflaeche,driftzone,junge_spur,zentrum_stabil,zentrum_stabil,aussen_zu_bruecke,aussen_zu_bruecke:1,oeffnend_belastender_austritt,oeffnend_belastender_austritt:1,eintritt:1,0,0
dio_mcm_episode_0t1ymth,0t1ymth,schwacher_anschluss,1,1,36.000000,1,1,0,0,0,1,gemischter_pfad,stabil,offene_bedeutungszone,offene_bedeutungszone,zentrum_stabil,zentrum_stabil,aussen_zu_bruecke,aussen_zu_bruecke:1,rekoppelnder_austritt,rekoppelnder_austritt:1,eintritt:1,0,0
dio_mcm_episode_0nuo9k1,0nuo9k1,schwacher_anschluss,1,1,21.000000,1,1,0,0,0,1,-,-,-,-,-,-,aussen_zu_bruecke,aussen_zu_bruecke:1,rekoppelnder_austritt,rekoppelnder_austritt:1,eintritt:1,0,0
dio_mcm_episode_1x5cw2v,1x5cw2v,schwacher_anschluss,1,1,4.000000,1,1,0,0,0,1,-,-,-,-,-,-,aussen_zu_bruecke,aussen_zu_bruecke:1,oeffnend_belastender_austritt,oeffnend_belastender_austritt:1,eintritt:1,0,0
dio_mcm_episode_0lfde2c,0lfde2c,schwacher_anschluss,1,1,4.000000,1,1,0,0,1,0,-,-,-,-,-,-,bruecke_zu_aussen,bruecke_zu_aussen:1,gemischter_austritt,gemischter_austritt:1,austritt:1,0,0
