token,short_token,L894_class,L894_weight,L894_duration,L894_world_span,L901_class,L901_weight,L901_duration,L901_world_span,class_sequence,weight_sequence,duration_sequence,world_span_sequence,trend,max_rank,weight_delta_total
dio_mcm_episode_00nzcuc,00nzcuc,lokaler_anschlussanker,14,134.071429,2,schwacher_anschluss,1,353.000000,1,lokaler_anschlussanker -> schwacher_anschluss,14 -> 1,134.07 -> 353.00,2 -> 1,absteigende_entlastung,2,-13
dio_mcm_episode_1hdpu9s,1hdpu9s,lokaler_anschlussanker,12,20.416667,2,schwacher_anschluss,11,18.727273,3,lokaler_anschlussanker -> schwacher_anschluss,12 -> 11,20.42 -> 18.73,2 -> 3,absteigende_entlastung,2,-1
dio_mcm_episode_077r0df,077r0df,schwacher_anschluss,1,3.000000,1,lokaler_anschlussanker,16,10.000000,3,schwacher_anschluss -> lokaler_anschlussanker,1 -> 16,3.00 -> 10.00,1 -> 3,aufsteigende_verdichtung,2,15
dio_mcm_episode_0geqqo3,0geqqo3,schwacher_anschluss,11,16.090909,2,lokaler_anschlussanker,22,45.227273,2,schwacher_anschluss -> lokaler_anschlussanker,11 -> 22,16.09 -> 45.23,2 -> 2,aufsteigende_verdichtung,2,11
dio_mcm_episode_0w4x7xs,0w4x7xs,schwacher_anschluss,9,123.333333,1,lokaler_anschlussanker,18,50.500000,2,schwacher_anschluss -> lokaler_anschlussanker,9 -> 18,123.33 -> 50.50,1 -> 2,aufsteigende_verdichtung,2,9
dio_mcm_episode_0wjn8vm,0wjn8vm,-,0,0.000000,0,lokaler_anschlussanker,14,310.285714,2,- -> lokaler_anschlussanker,0 -> 14,0.00 -> 310.29,0 -> 2,aufsteigende_verdichtung,2,14
dio_mcm_episode_14l8khu,14l8khu,-,0,0.000000,0,lokaler_anschlussanker,13,37.461539,2,- -> lokaler_anschlussanker,0 -> 13,0.00 -> 37.46,0 -> 2,aufsteigende_verdichtung,2,13
dio_mcm_episode_1al8fjz,1al8fjz,schwacher_anschluss,6,1.666667,2,lokaler_anschlussanker,14,1.571429,4,schwacher_anschluss -> lokaler_anschlussanker,6 -> 14,1.67 -> 1.57,2 -> 4,aufsteigende_verdichtung,2,8
dio_mcm_episode_04s5k7g,04s5k7g,schwacher_anschluss,2,20.000000,1,-,0,0.000000,0,schwacher_anschluss -> -,2 -> 0,20.00 -> 0.00,1 -> 0,absteigende_entlastung,1,-2
dio_mcm_episode_0h9ka55,0h9ka55,schwacher_anschluss,1,733.000000,1,-,0,0.000000,0,schwacher_anschluss -> -,1 -> 0,733.00 -> 0.00,1 -> 0,absteigende_entlastung,1,-1
dio_mcm_episode_0jatqr8,0jatqr8,schwacher_anschluss,1,2.000000,1,-,0,0.000000,0,schwacher_anschluss -> -,1 -> 0,2.00 -> 0.00,1 -> 0,absteigende_entlastung,1,-1
dio_mcm_episode_0jdgxa5,0jdgxa5,schwacher_anschluss,1,2007.000000,1,-,0,0.000000,0,schwacher_anschluss -> -,1 -> 0,2007.00 -> 0.00,1 -> 0,absteigende_entlastung,1,-1
dio_mcm_episode_0ldenly,0ldenly,schwacher_anschluss,1,3.000000,1,-,0,0.000000,0,schwacher_anschluss -> -,1 -> 0,3.00 -> 0.00,1 -> 0,absteigende_entlastung,1,-1
dio_mcm_episode_0mqw5s3,0mqw5s3,schwacher_anschluss,2,49.000000,1,-,0,0.000000,0,schwacher_anschluss -> -,2 -> 0,49.00 -> 0.00,1 -> 0,absteigende_entlastung,1,-2
dio_mcm_episode_0n22aiv,0n22aiv,schwacher_anschluss,1,1753.000000,1,-,0,0.000000,0,schwacher_anschluss -> -,1 -> 0,1753.00 -> 0.00,1 -> 0,absteigende_entlastung,1,-1
dio_mcm_episode_0rz7ra9,0rz7ra9,schwacher_anschluss,1,2034.000000,1,-,0,0.000000,0,schwacher_anschluss -> -,1 -> 0,2034.00 -> 0.00,1 -> 0,absteigende_entlastung,1,-1
dio_mcm_episode_0sxikqi,0sxikqi,schwacher_anschluss,1,283.000000,1,-,0,0.000000,0,schwacher_anschluss -> -,1 -> 0,283.00 -> 0.00,1 -> 0,absteigende_entlastung,1,-1
dio_mcm_episode_0tosxof,0tosxof,schwacher_anschluss,1,1972.000000,1,-,0,0.000000,0,schwacher_anschluss -> -,1 -> 0,1972.00 -> 0.00,1 -> 0,absteigende_entlastung,1,-1
dio_mcm_episode_0vszw6h,0vszw6h,schwacher_anschluss,1,3.000000,1,-,0,0.000000,0,schwacher_anschluss -> -,1 -> 0,3.00 -> 0.00,1 -> 0,absteigende_entlastung,1,-1
dio_mcm_episode_1ej5zl7,1ej5zl7,schwacher_anschluss,1,532.000000,1,-,0,0.000000,0,schwacher_anschluss -> -,1 -> 0,532.00 -> 0.00,1 -> 0,absteigende_entlastung,1,-1
dio_mcm_episode_1fej2vb,1fej2vb,schwacher_anschluss,1,2034.000000,1,-,0,0.000000,0,schwacher_anschluss -> -,1 -> 0,2034.00 -> 0.00,1 -> 0,absteigende_entlastung,1,-1
dio_mcm_episode_1ggl8cd,1ggl8cd,schwacher_anschluss,2,2011.000000,2,-,0,0.000000,0,schwacher_anschluss -> -,2 -> 0,2011.00 -> 0.00,2 -> 0,absteigende_entlastung,1,-2
dio_mcm_episode_1nw8bq9,1nw8bq9,schwacher_anschluss,2,2.500000,1,-,0,0.000000,0,schwacher_anschluss -> -,2 -> 0,2.50 -> 0.00,1 -> 0,absteigende_entlastung,1,-2
dio_mcm_episode_1q3u8v6,1q3u8v6,schwacher_anschluss,1,2.000000,1,-,0,0.000000,0,schwacher_anschluss -> -,1 -> 0,2.00 -> 0.00,1 -> 0,absteigende_entlastung,1,-1
dio_mcm_episode_1rzvd1k,1rzvd1k,schwacher_anschluss,2,232.000000,1,-,0,0.000000,0,schwacher_anschluss -> -,2 -> 0,232.00 -> 0.00,1 -> 0,absteigende_entlastung,1,-2
dio_mcm_episode_01s42m6,01s42m6,-,0,0.000000,0,schwacher_anschluss,4,161.750000,2,- -> schwacher_anschluss,0 -> 4,0.00 -> 161.75,0 -> 2,aufsteigende_verdichtung,1,4
dio_mcm_episode_06ccuqv,06ccuqv,-,0,0.000000,0,schwacher_anschluss,2,2.000000,2,- -> schwacher_anschluss,0 -> 2,0.00 -> 2.00,0 -> 2,aufsteigende_verdichtung,1,2
dio_mcm_episode_079228h,079228h,-,0,0.000000,0,schwacher_anschluss,1,1.000000,1,- -> schwacher_anschluss,0 -> 1,0.00 -> 1.00,0 -> 1,aufsteigende_verdichtung,1,1
dio_mcm_episode_080f74u,080f74u,-,0,0.000000,0,schwacher_anschluss,1,3.000000,1,- -> schwacher_anschluss,0 -> 1,0.00 -> 3.00,0 -> 1,aufsteigende_verdichtung,1,1
dio_mcm_episode_0ac3vc1,0ac3vc1,-,0,0.000000,0,schwacher_anschluss,1,2.000000,1,- -> schwacher_anschluss,0 -> 1,0.00 -> 2.00,0 -> 1,aufsteigende_verdichtung,1,1
dio_mcm_episode_0ag2osp,0ag2osp,-,0,0.000000,0,schwacher_anschluss,1,1.000000,1,- -> schwacher_anschluss,0 -> 1,0.00 -> 1.00,0 -> 1,aufsteigende_verdichtung,1,1
dio_mcm_episode_0d40zcv,0d40zcv,-,0,0.000000,0,schwacher_anschluss,1,88.000000,1,- -> schwacher_anschluss,0 -> 1,0.00 -> 88.00,0 -> 1,aufsteigende_verdichtung,1,1
dio_mcm_episode_0dgle71,0dgle71,-,0,0.000000,0,schwacher_anschluss,10,60.400000,1,- -> schwacher_anschluss,0 -> 10,0.00 -> 60.40,0 -> 1,aufsteigende_verdichtung,1,10
dio_mcm_episode_0dxi31r,0dxi31r,-,0,0.000000,0,schwacher_anschluss,1,2.000000,1,- -> schwacher_anschluss,0 -> 1,0.00 -> 2.00,0 -> 1,aufsteigende_verdichtung,1,1
dio_mcm_episode_0jkg1dk,0jkg1dk,-,0,0.000000,0,schwacher_anschluss,1,1.000000,1,- -> schwacher_anschluss,0 -> 1,0.00 -> 1.00,0 -> 1,aufsteigende_verdichtung,1,1
dio_mcm_episode_0jwgafx,0jwgafx,-,0,0.000000,0,schwacher_anschluss,1,3.000000,1,- -> schwacher_anschluss,0 -> 1,0.00 -> 3.00,0 -> 1,aufsteigende_verdichtung,1,1
dio_mcm_episode_0jzhgzp,0jzhgzp,-,0,0.000000,0,schwacher_anschluss,1,2003.000000,1,- -> schwacher_anschluss,0 -> 1,0.00 -> 2003.00,0 -> 1,aufsteigende_verdichtung,1,1
dio_mcm_episode_0k7ekcr,0k7ekcr,-,0,0.000000,0,schwacher_anschluss,1,455.000000,1,- -> schwacher_anschluss,0 -> 1,0.00 -> 455.00,0 -> 1,aufsteigende_verdichtung,1,1
dio_mcm_episode_0ldht3x,0ldht3x,-,0,0.000000,0,schwacher_anschluss,1,1.000000,1,- -> schwacher_anschluss,0 -> 1,0.00 -> 1.00,0 -> 1,aufsteigende_verdichtung,1,1
dio_mcm_episode_0li6lg1,0li6lg1,-,0,0.000000,0,schwacher_anschluss,2,243.000000,1,- -> schwacher_anschluss,0 -> 2,0.00 -> 243.00,0 -> 1,aufsteigende_verdichtung,1,2
dio_mcm_episode_0sv0ru8,0sv0ru8,-,0,0.000000,0,schwacher_anschluss,1,3.000000,1,- -> schwacher_anschluss,0 -> 1,0.00 -> 3.00,0 -> 1,aufsteigende_verdichtung,1,1
dio_mcm_episode_0t7i6fh,0t7i6fh,-,0,0.000000,0,schwacher_anschluss,1,578.000000,1,- -> schwacher_anschluss,0 -> 1,0.00 -> 578.00,0 -> 1,aufsteigende_verdichtung,1,1
dio_mcm_episode_0tph7s0,0tph7s0,-,0,0.000000,0,schwacher_anschluss,2,600.000000,1,- -> schwacher_anschluss,0 -> 2,0.00 -> 600.00,0 -> 1,aufsteigende_verdichtung,1,2
dio_mcm_episode_0u69u6w,0u69u6w,-,0,0.000000,0,schwacher_anschluss,1,1.000000,1,- -> schwacher_anschluss,0 -> 1,0.00 -> 1.00,0 -> 1,aufsteigende_verdichtung,1,1
dio_mcm_episode_0v5p8er,0v5p8er,-,0,0.000000,0,schwacher_anschluss,2,596.500000,1,- -> schwacher_anschluss,0 -> 2,0.00 -> 596.50,0 -> 1,aufsteigende_verdichtung,1,2
dio_mcm_episode_0w9dwz3,0w9dwz3,-,0,0.000000,0,schwacher_anschluss,2,26.500000,2,- -> schwacher_anschluss,0 -> 2,0.00 -> 26.50,0 -> 2,aufsteigende_verdichtung,1,2
dio_mcm_episode_0xsq19y,0xsq19y,-,0,0.000000,0,schwacher_anschluss,1,1.000000,1,- -> schwacher_anschluss,0 -> 1,0.00 -> 1.00,0 -> 1,aufsteigende_verdichtung,1,1
dio_mcm_episode_0zh3u1j,0zh3u1j,-,0,0.000000,0,schwacher_anschluss,1,832.000000,1,- -> schwacher_anschluss,0 -> 1,0.00 -> 832.00,0 -> 1,aufsteigende_verdichtung,1,1
dio_mcm_episode_10mbxau,10mbxau,-,0,0.000000,0,schwacher_anschluss,1,1.000000,1,- -> schwacher_anschluss,0 -> 1,0.00 -> 1.00,0 -> 1,aufsteigende_verdichtung,1,1
dio_mcm_episode_13cw75j,13cw75j,-,0,0.000000,0,schwacher_anschluss,1,1842.000000,1,- -> schwacher_anschluss,0 -> 1,0.00 -> 1842.00,0 -> 1,aufsteigende_verdichtung,1,1
dio_mcm_episode_14k61ms,14k61ms,-,0,0.000000,0,schwacher_anschluss,1,917.000000,1,- -> schwacher_anschluss,0 -> 1,0.00 -> 917.00,0 -> 1,aufsteigende_verdichtung,1,1
dio_mcm_episode_15cyz2v,15cyz2v,-,0,0.000000,0,schwacher_anschluss,1,757.000000,1,- -> schwacher_anschluss,0 -> 1,0.00 -> 757.00,0 -> 1,aufsteigende_verdichtung,1,1
dio_mcm_episode_17eveju,17eveju,-,0,0.000000,0,schwacher_anschluss,1,931.000000,1,- -> schwacher_anschluss,0 -> 1,0.00 -> 931.00,0 -> 1,aufsteigende_verdichtung,1,1
dio_mcm_episode_1a9sbfi,1a9sbfi,-,0,0.000000,0,schwacher_anschluss,1,1.000000,1,- -> schwacher_anschluss,0 -> 1,0.00 -> 1.00,0 -> 1,aufsteigende_verdichtung,1,1
dio_mcm_episode_1aurt3q,1aurt3q,-,0,0.000000,0,schwacher_anschluss,1,3.000000,1,- -> schwacher_anschluss,0 -> 1,0.00 -> 3.00,0 -> 1,aufsteigende_verdichtung,1,1
dio_mcm_episode_1ds636q,1ds636q,-,0,0.000000,0,schwacher_anschluss,3,41.000000,2,- -> schwacher_anschluss,0 -> 3,0.00 -> 41.00,0 -> 2,aufsteigende_verdichtung,1,3
dio_mcm_episode_1eju9g0,1eju9g0,-,0,0.000000,0,schwacher_anschluss,20,42.150000,1,- -> schwacher_anschluss,0 -> 20,0.00 -> 42.15,0 -> 1,aufsteigende_verdichtung,1,20
dio_mcm_episode_1engxbn,1engxbn,-,0,0.000000,0,schwacher_anschluss,9,242.333333,2,- -> schwacher_anschluss,0 -> 9,0.00 -> 242.33,0 -> 2,aufsteigende_verdichtung,1,9
dio_mcm_episode_1hdvp5m,1hdvp5m,-,0,0.000000,0,schwacher_anschluss,1,532.000000,1,- -> schwacher_anschluss,0 -> 1,0.00 -> 532.00,0 -> 1,aufsteigende_verdichtung,1,1
dio_mcm_episode_1jaecfa,1jaecfa,-,0,0.000000,0,schwacher_anschluss,1,1245.000000,1,- -> schwacher_anschluss,0 -> 1,0.00 -> 1245.00,0 -> 1,aufsteigende_verdichtung,1,1
dio_mcm_episode_1jansx7,1jansx7,-,0,0.000000,0,schwacher_anschluss,1,2016.000000,1,- -> schwacher_anschluss,0 -> 1,0.00 -> 2016.00,0 -> 1,aufsteigende_verdichtung,1,1
dio_mcm_episode_1n2f96o,1n2f96o,-,0,0.000000,0,schwacher_anschluss,1,3.000000,1,- -> schwacher_anschluss,0 -> 1,0.00 -> 3.00,0 -> 1,aufsteigende_verdichtung,1,1
dio_mcm_episode_1n9f8vr,1n9f8vr,-,0,0.000000,0,schwacher_anschluss,2,2.000000,1,- -> schwacher_anschluss,0 -> 2,0.00 -> 2.00,0 -> 1,aufsteigende_verdichtung,1,2
dio_mcm_episode_1qqnvqf,1qqnvqf,-,0,0.000000,0,schwacher_anschluss,2,41.500000,2,- -> schwacher_anschluss,0 -> 2,0.00 -> 41.50,0 -> 2,aufsteigende_verdichtung,1,2
dio_mcm_episode_1t42af6,1t42af6,-,0,0.000000,0,schwacher_anschluss,4,312.250000,2,- -> schwacher_anschluss,0 -> 4,0.00 -> 312.25,0 -> 2,aufsteigende_verdichtung,1,4
dio_mcm_episode_1x5cw2v,1x5cw2v,-,0,0.000000,0,schwacher_anschluss,1,4.000000,1,- -> schwacher_anschluss,0 -> 1,0.00 -> 4.00,0 -> 1,aufsteigende_verdichtung,1,1
dio_mcm_episode_1xm3b1l,1xm3b1l,-,0,0.000000,0,schwacher_anschluss,1,3.000000,1,- -> schwacher_anschluss,0 -> 1,0.00 -> 3.00,0 -> 1,aufsteigende_verdichtung,1,1
dio_mcm_episode_0393v08,0393v08,schwacher_anschluss,1,3.000000,1,schwacher_anschluss,1,3.000000,1,schwacher_anschluss -> schwacher_anschluss,1 -> 1,3.00 -> 3.00,1 -> 1,stabile_rolle,1,0
dio_mcm_episode_05lquqm,05lquqm,schwacher_anschluss,4,2.000000,1,schwacher_anschluss,10,1.200000,1,schwacher_anschluss -> schwacher_anschluss,4 -> 10,2.00 -> 1.20,1 -> 1,stabile_rolle,1,6
dio_mcm_episode_08ubq99,08ubq99,schwacher_anschluss,1,2.000000,1,schwacher_anschluss,1,1.000000,1,schwacher_anschluss -> schwacher_anschluss,1 -> 1,2.00 -> 1.00,1 -> 1,stabile_rolle,1,0
dio_mcm_episode_0aztxel,0aztxel,schwacher_anschluss,3,1.333333,1,schwacher_anschluss,1,2.000000,1,schwacher_anschluss -> schwacher_anschluss,3 -> 1,1.33 -> 2.00,1 -> 1,stabile_rolle,1,-2
dio_mcm_episode_0dsrwv5,0dsrwv5,schwacher_anschluss,1,1.000000,1,schwacher_anschluss,1,1.000000,1,schwacher_anschluss -> schwacher_anschluss,1 -> 1,1.00 -> 1.00,1 -> 1,stabile_rolle,1,0
dio_mcm_episode_0ej0lhx,0ej0lhx,schwacher_anschluss,1,2.000000,1,schwacher_anschluss,1,2.000000,1,schwacher_anschluss -> schwacher_anschluss,1 -> 1,2.00 -> 2.00,1 -> 1,stabile_rolle,1,0
dio_mcm_episode_0fljihc,0fljihc,schwacher_anschluss,1,931.000000,1,schwacher_anschluss,2,100.000000,1,schwacher_anschluss -> schwacher_anschluss,1 -> 2,931.00 -> 100.00,1 -> 1,stabile_rolle,1,1
dio_mcm_episode_0hjnwsk,0hjnwsk,schwacher_anschluss,6,2.166667,3,schwacher_anschluss,10,2.600000,4,schwacher_anschluss -> schwacher_anschluss,6 -> 10,2.17 -> 2.60,3 -> 4,stabile_rolle,1,4
dio_mcm_episode_0jlkrep,0jlkrep,schwacher_anschluss,2,1.000000,2,schwacher_anschluss,2,1.000000,1,schwacher_anschluss -> schwacher_anschluss,2 -> 2,1.00 -> 1.00,2 -> 1,stabile_rolle,1,0
dio_mcm_episode_0l3i7ey,0l3i7ey,schwacher_anschluss,1,2.000000,1,schwacher_anschluss,1,3.000000,1,schwacher_anschluss -> schwacher_anschluss,1 -> 1,2.00 -> 3.00,1 -> 1,stabile_rolle,1,0
dio_mcm_episode_0lfde2c,0lfde2c,schwacher_anschluss,3,178.000000,1,schwacher_anschluss,1,4.000000,1,schwacher_anschluss -> schwacher_anschluss,3 -> 1,178.00 -> 4.00,1 -> 1,stabile_rolle,1,-2
dio_mcm_episode_0lne9ax,0lne9ax,schwacher_anschluss,4,2.250000,4,schwacher_anschluss,6,3.000000,6,schwacher_anschluss -> schwacher_anschluss,4 -> 6,2.25 -> 3.00,4 -> 6,stabile_rolle,1,2
dio_mcm_episode_0mm85pw,0mm85pw,schwacher_anschluss,2,1090.000000,1,schwacher_anschluss,5,655.600000,2,schwacher_anschluss -> schwacher_anschluss,2 -> 5,1090.00 -> 655.60,1 -> 2,stabile_rolle,1,3
dio_mcm_episode_0mw7rev,0mw7rev,schwacher_anschluss,2,583.000000,1,schwacher_anschluss,5,669.200000,2,schwacher_anschluss -> schwacher_anschluss,2 -> 5,583.00 -> 669.20,1 -> 2,stabile_rolle,1,3
dio_mcm_episode_0nuo9k1,0nuo9k1,schwacher_anschluss,1,21.000000,1,schwacher_anschluss,1,21.000000,1,schwacher_anschluss -> schwacher_anschluss,1 -> 1,21.00 -> 21.00,1 -> 1,stabile_rolle,1,0
dio_mcm_episode_0t1ymth,0t1ymth,schwacher_anschluss,1,36.000000,1,schwacher_anschluss,1,36.000000,1,schwacher_anschluss -> schwacher_anschluss,1 -> 1,36.00 -> 36.00,1 -> 1,stabile_rolle,1,0
dio_mcm_episode_10b8y4e,10b8y4e,schwacher_anschluss,1,20.000000,1,schwacher_anschluss,3,16.666667,2,schwacher_anschluss -> schwacher_anschluss,1 -> 3,20.00 -> 16.67,1 -> 2,stabile_rolle,1,2
dio_mcm_episode_17c7qwp,17c7qwp,schwacher_anschluss,1,1972.000000,1,schwacher_anschluss,1,375.000000,1,schwacher_anschluss -> schwacher_anschluss,1 -> 1,1972.00 -> 375.00,1 -> 1,stabile_rolle,1,0
dio_mcm_episode_19dxnmz,19dxnmz,schwacher_anschluss,1,581.000000,1,schwacher_anschluss,1,581.000000,1,schwacher_anschluss -> schwacher_anschluss,1 -> 1,581.00 -> 581.00,1 -> 1,stabile_rolle,1,0
dio_mcm_episode_19w9kxc,19w9kxc,schwacher_anschluss,2,934.500000,1,schwacher_anschluss,1,1119.000000,1,schwacher_anschluss -> schwacher_anschluss,2 -> 1,934.50 -> 1119.00,1 -> 1,stabile_rolle,1,-1
dio_mcm_episode_1b3r4if,1b3r4if,schwacher_anschluss,1,2.000000,1,schwacher_anschluss,2,1.000000,1,schwacher_anschluss -> schwacher_anschluss,1 -> 2,2.00 -> 1.00,1 -> 1,stabile_rolle,1,1
dio_mcm_episode_1f4jh6c,1f4jh6c,schwacher_anschluss,2,14.500000,1,schwacher_anschluss,1,76.000000,1,schwacher_anschluss -> schwacher_anschluss,2 -> 1,14.50 -> 76.00,1 -> 1,stabile_rolle,1,-1
dio_mcm_episode_1i1sl4l,1i1sl4l,schwacher_anschluss,6,17.333333,2,schwacher_anschluss,9,3.555555,2,schwacher_anschluss -> schwacher_anschluss,6 -> 9,17.33 -> 3.56,2 -> 2,stabile_rolle,1,3
dio_mcm_episode_1k0rrn2,1k0rrn2,schwacher_anschluss,2,1.000000,1,schwacher_anschluss,4,1.000000,2,schwacher_anschluss -> schwacher_anschluss,2 -> 4,1.00 -> 1.00,1 -> 2,stabile_rolle,1,2
dio_mcm_episode_1pmt8u2,1pmt8u2,schwacher_anschluss,1,1985.000000,1,schwacher_anschluss,3,714.000000,1,schwacher_anschluss -> schwacher_anschluss,1 -> 3,1985.00 -> 714.00,1 -> 1,stabile_rolle,1,2
dio_mcm_episode_1y2gc2i,1y2gc2i,schwacher_anschluss,2,2.000000,2,schwacher_anschluss,4,2.000000,4,schwacher_anschluss -> schwacher_anschluss,2 -> 4,2.00 -> 2.00,2 -> 4,stabile_rolle,1,2
