token,base_zone,follow_zone,movement,base_observations,follow_observations,observation_delta,base_worlds,follow_worlds,world_delta,base_dominant_role,follow_dominant_role,base_top_next,follow_top_next,rekopplung_delta,strain_delta,sensory_delta,tension_delta,loudness_delta,visual_blur_delta
dio_mcm_episode_0l3i7ey,hoeherer_cluster_uebergang,junge_spur,verjuengung_oberflaeche,6,1,-5,2,1,-1,zentrum_stabil,zentrum_stabil,dio_mcm_episode_0lne9ax,dio_mcm_episode_0apubpm,0.038824,-0.049927,0.079161,-0.042493,-0.096738,-0.220094
dio_mcm_episode_0lne9ax,driftzone,hoeherer_cluster_uebergang,reifung_oder_verdichtung,3,8,5,2,3,1,zentrum_stabil,zentrum_stabil,dio_mcm_episode_0jbl5pq,dio_mcm_episode_0jbl5pq,-0.019241,0.027568,-0.040171,0.016572,0.041891,0.064951
dio_mcm_episode_028a6an,junge_spur,driftzone,oeffnung_oder_drift,1,5,4,1,1,0,zentrum_stabil,zentrum_stabil,dio_mcm_episode_077r0df,dio_mcm_episode_0bntidq,-0.004876,-0.002827,0.02691,0.024534,0.048084,-0.13662
dio_mcm_episode_00i7zy5,junge_spur,driftzone,oeffnung_oder_drift,1,4,3,1,4,3,zentrum_stabil,zentrum_stabil,dio_mcm_episode_0393v08,dio_mcm_episode_0393v08,0.009037,-0.016564,0.008956,-0.044547,-0.100836,0.085122
dio_mcm_episode_06ccuqv,junge_spur,offene_bedeutungszone,oeffnung_oder_drift,1,4,3,1,2,1,zentrum_stabil,zentrum_stabil,dio_mcm_episode_1al8fjz,dio_mcm_episode_08fjvls,0.017068,-0.027051,0.025864,-0.059068,-0.132627,0.103588
dio_mcm_episode_0jatqr8,rekopplungszone,stabile_bedeutungsinsel,reifung_oder_verdichtung,11,8,-3,3,3,0,zentrum_stabil,zentrum_stabil,dio_mcm_episode_1xm3b1l,dio_mcm_episode_1xm3b1l,-0.003777,-0.000399,0.002559,0.010981,0.037642,-0.066238
dio_mcm_episode_0ldht3x,hoeherer_cluster_uebergang,junge_spur,verjuengung_oberflaeche,4,1,-3,2,1,-1,zentrum_stabil,zentrum_stabil,dio_mcm_episode_0l3i7ey,dio_mcm_episode_0l3i7ey,0.012367,0.000129,0.001822,-0.001907,0.001706,-0.062382
dio_mcm_episode_0ultars,hoeherer_cluster_uebergang,junge_spur,verjuengung_oberflaeche,4,1,-3,2,1,-1,offene_variante,zentrum_stabil,dio_mcm_episode_0aztxel,dio_mcm_episode_00dz86x,0.025631,-0.031047,0.079662,0.038651,0.118733,-0.137946
dio_mcm_episode_1al8fjz,hoeherer_cluster_uebergang,stabile_bedeutungsinsel,reifung_oder_verdichtung,4,7,3,2,3,1,zentrum_stabil,zentrum_stabil,dio_mcm_episode_1y2gc2i,dio_mcm_episode_1y2gc2i,0.023608,-0.035383,0.037646,-0.0847,-0.188204,0.053268
dio_mcm_episode_1bnkysm,junge_spur,rekopplungszone,reifung_oder_verdichtung,1,4,3,1,3,2,zentrum_stabil,zentrum_stabil,dio_mcm_episode_1b3r4if,dio_mcm_episode_0c3787x,0.042696,-0.049313,0.063805,-0.137682,-0.28576,-0.096581
dio_mcm_episode_1chjrvj,junge_spur,rekopplungszone,reifung_oder_verdichtung,1,4,3,1,3,2,zentrum_stabil,zentrum_stabil,dio_mcm_episode_1bnkysm,dio_mcm_episode_0a5a0d4,-0.021694,-0.03124,0.013535,-0.014023,-0.01017,-0.087259
dio_mcm_episode_1ig1vs0,junge_spur,driftzone,oeffnung_oder_drift,1,4,3,1,3,2,offene_variante,zentrum_stabil,dio_mcm_episode_0oc1i7g,dio_mcm_episode_00oqshz,0.020887,-0.051849,0.099955,-0.027216,-0.053623,-0.224273
dio_mcm_episode_00yl137,junge_spur,driftzone,oeffnung_oder_drift,1,3,2,1,2,1,spannungsrand_kippnaehe,zentrum_stabil,dio_mcm_episode_0tv1tha,dio_mcm_episode_0ultars,0.131146,-0.166687,0.203259,-0.226393,-0.58091,-0.120918
dio_mcm_episode_02ujuqf,hoeherer_cluster_uebergang,rekopplungszone,reifung_oder_verdichtung,6,8,2,2,2,0,zentrum_stabil,zentrum_stabil,dio_mcm_episode_1xx3u1e,dio_mcm_episode_1xx3u1e,-9.4e-05,-0.017847,0.022854,-0.016442,-0.036714,-0.073622
dio_mcm_episode_05lquqm,hoeherer_cluster_uebergang,rekopplungszone,reifung_oder_verdichtung,3,5,2,3,4,1,zentrum_stabil,zentrum_stabil,dio_mcm_episode_08ubq99,dio_mcm_episode_0ej0lhx,0.029683,-0.044623,0.052348,-0.083095,-0.179372,-0.014985
dio_mcm_episode_0i8oyce,driftzone,junge_spur,verjuengung_oberflaeche,3,1,-2,1,1,0,offene_variante,zentrum_stabil,dio_mcm_episode_0cvptbz,dio_mcm_episode_079228h,0.004878,0.008352,0.030587,0.102553,0.222142,-0.069606
dio_mcm_episode_0ldenly,junge_spur,driftzone,oeffnung_oder_drift,1,3,2,1,2,1,zentrum_stabil,zentrum_stabil,dio_mcm_episode_0jrpwoa,dio_mcm_episode_0lne9ax,-0.006737,0.005829,-0.021256,0.008163,0.023803,0.06859
dio_mcm_episode_0mb95f2,junge_spur,driftzone,oeffnung_oder_drift,1,3,2,1,1,0,zentrum_stabil,zentrum_stabil,dio_mcm_episode_0ml8r41,dio_mcm_episode_17wwyn1,0.005458,0.000984,-0.009609,-0.039325,-0.079958,0.033953
dio_mcm_episode_0qzjuvj,hoeherer_cluster_uebergang,stabile_bedeutungsinsel,reifung_oder_verdichtung,11,9,-2,2,3,1,offene_variante,zentrum_stabil,dio_mcm_episode_0z748ck,dio_mcm_episode_0z748ck,0.040903,-0.039304,0.060048,-0.0363,-0.079637,-0.066744
dio_mcm_episode_0ro62tp,junge_spur,driftzone,oeffnung_oder_drift,1,3,2,1,1,0,zentrum_stabil,offene_variante,dio_mcm_episode_1sjhl8h,dio_mcm_episode_0l74fn8,-0.01668,0.04408,-0.062746,0.059598,0.135443,0.225353
dio_mcm_episode_16t4uv3,junge_spur,driftzone,oeffnung_oder_drift,1,3,2,1,1,0,zentrum_stabil,zentrum_stabil,dio_mcm_episode_01s42m6,dio_mcm_episode_01s42m6,-0.002872,0.028447,-0.025419,0.031193,0.067934,0.104184
dio_mcm_episode_195dhqf,junge_spur,driftzone,oeffnung_oder_drift,1,3,2,1,2,1,zentrum_stabil,zentrum_stabil,dio_mcm_episode_14zksvh,dio_mcm_episode_0k1pid9,-0.004979,0.001284,-0.013654,-0.007187,0.005342,0.095082
dio_mcm_episode_1f4jh6c,driftzone,junge_spur,verjuengung_oberflaeche,3,1,-2,1,1,0,zentrum_stabil,zentrum_stabil,dio_mcm_episode_0b7nep9,dio_mcm_episode_1qqnvqf,0.024488,0.008886,0.013526,0.002527,0.022421,-0.065072
dio_mcm_episode_1y26981,driftzone,hoeherer_cluster_uebergang,reifung_oder_verdichtung,3,5,2,1,3,2,zentrum_stabil,zentrum_stabil,dio_mcm_episode_17i4j9o,dio_mcm_episode_17i4j9o,-0.013794,0.026599,-0.019687,0.104288,0.255148,-0.038817
dio_mcm_episode_03zcjn0,rekopplungszone,driftzone,oeffnung_oder_drift,2,3,1,1,1,0,zentrum_stabil,zentrum_stabil,dio_mcm_episode_1v9dvrl,dio_mcm_episode_0c3787x,0.008867,0.035758,-0.05022,-0.004965,-0.016226,0.08268
dio_mcm_episode_068ops8,offene_bedeutungszone,driftzone,oeffnung_oder_drift,3,4,1,1,2,1,zentrum_stabil,zentrum_stabil,dio_mcm_episode_17i4j9o,dio_mcm_episode_1x5cw2v,0.001273,-0.003173,0.000983,-0.023992,-0.067835,0.017267
dio_mcm_episode_079228h,junge_spur,driftzone,oeffnung_oder_drift,1,2,1,1,1,0,zentrum_stabil,offene_variante,dio_mcm_episode_03zcjn0,dio_mcm_episode_0i8oyce,-0.017075,0.00081,-0.021555,0.008274,0.005262,0.107058
dio_mcm_episode_0ag2osp,driftzone,hoeherer_cluster_uebergang,reifung_oder_verdichtung,4,3,-1,2,3,1,zentrum_stabil,zentrum_stabil,dio_mcm_episode_0a6333q,dio_mcm_episode_05lquqm,-0.024159,0.027015,-0.043088,0.052392,0.10571,0.106441
dio_mcm_episode_0dsrwv5,junge_spur,offene_bedeutungszone,oeffnung_oder_drift,1,2,1,1,2,1,zentrum_stabil,zentrum_stabil,dio_mcm_episode_102i30n,dio_mcm_episode_1al8fjz,-0.009133,0.0118,-0.022979,0.010663,0.009196,0.072867
dio_mcm_episode_0qhiq5e,junge_spur,driftzone,oeffnung_oder_drift,1,2,1,1,2,1,offene_variante,offene_variante,dio_mcm_episode_0q7j4gf,dio_mcm_episode_15yxfhz,-0.018275,4.8e-05,-0.022865,0.008959,0.031423,-0.006807
dio_mcm_episode_0tph7s0,driftzone,junge_spur,verjuengung_oberflaeche,2,1,-1,2,1,-1,zentrum_stabil,zentrum_stabil,dio_mcm_episode_0fkg6al,dio_mcm_episode_05lquqm,0.003208,0.002113,-0.001352,-0.000255,-0.000358,0.021509
dio_mcm_episode_0w4721p,rekopplungszone,stabile_bedeutungsinsel,reifung_oder_verdichtung,13,12,-1,5,4,-1,zentrum_stabil,zentrum_stabil,dio_mcm_episode_19w1n2u,dio_mcm_episode_19w1n2u,0.000492,-0.002329,0.0042,-0.00299,-0.004501,-0.013937
dio_mcm_episode_0z748ck,stabile_bedeutungsinsel,hoeherer_cluster_uebergang,reifung_oder_verdichtung,9,8,-1,2,2,0,zentrum_stabil,zentrum_stabil,dio_mcm_episode_0e7qvj1,dio_mcm_episode_0e7qvj1,-0.007918,0.006928,-0.017905,-0.010583,-0.020461,0.031361
dio_mcm_episode_1a9sbfi,junge_spur,rekopplungszone,reifung_oder_verdichtung,1,2,1,1,1,0,zentrum_stabil,zentrum_stabil,dio_mcm_episode_05lquqm,dio_mcm_episode_0j0u529,0.026745,0.01573,-0.038589,-0.028903,-0.082956,0.120803
dio_mcm_episode_1jansx7,junge_spur,driftzone,oeffnung_oder_drift,1,2,1,1,1,0,offene_variante,offene_variante,dio_mcm_episode_0a6333q,dio_mcm_episode_1bnkysm,0.028679,-0.007928,0.034233,-0.010939,0.005789,-0.2724
dio_mcm_episode_1ovglru,driftzone,junge_spur,verjuengung_oberflaeche,2,1,-1,2,1,-1,zentrum_stabil,zentrum_stabil,dio_mcm_episode_0t1ymth,dio_mcm_episode_0t1ymth,0.002483,-0.000667,0.010216,0.005148,0.017607,-0.057772
dio_mcm_episode_1pmt8u2,rekopplungszone,offene_bedeutungszone,oeffnung_oder_drift,4,3,-1,2,2,0,zentrum_stabil,zentrum_stabil,dio_mcm_episode_1iqf51c,dio_mcm_episode_1chjrvj,-0.012268,0.015421,-0.020617,0.022266,0.05484,0.022583
dio_mcm_episode_1qqnvqf,driftzone,rekopplungszone,reifung_oder_verdichtung,3,2,-1,1,1,0,zentrum_stabil,zentrum_stabil,dio_mcm_episode_0ykar6i,dio_mcm_episode_0ykar6i,0.054498,-0.049113,0.047862,-0.094915,-0.23006,-0.042112
dio_mcm_episode_0cvptbz,offene_bedeutungszone,driftzone,oeffnung_oder_drift,3,3,0,1,1,0,zentrum_stabil,offene_variante,dio_mcm_episode_1f4jh6c,dio_mcm_episode_1f4jh6c,-0.002407,0.009713,-0.011432,0.051235,0.134532,-0.084879
dio_mcm_episode_0u69u6w,driftzone,offene_bedeutungszone,oeffnung_oder_drift,2,2,0,2,2,0,zentrum_stabil,zentrum_stabil,dio_mcm_episode_06ccuqv,dio_mcm_episode_06ccuqv,0.030673,-0.036534,0.028964,-0.043647,-0.087554,-0.010069
dio_mcm_episode_17wwyn1,rekopplungszone,driftzone,oeffnung_oder_drift,3,3,0,1,1,0,zentrum_stabil,zentrum_stabil,dio_mcm_episode_17c7qwp,dio_mcm_episode_00nzcuc,-0.053777,0.046325,-0.084238,0.1191,0.249093,0.237024
dio_mcm_episode_0ykar6i,hoeherer_cluster_uebergang,hoeherer_cluster_uebergang,stabil,1351,3830,2479,2,3,1,zentrum_stabil,zentrum_stabil,dio_mcm_episode_0b7nep9,dio_mcm_episode_0b7nep9,0.002609,-0.001158,0.002271,0.000423,0.004443,-0.018064
dio_mcm_episode_0ybr5e3,stabile_bedeutungsinsel,stabile_bedeutungsinsel,stabil,1537,3868,2331,1,1,0,zentrum_stabil,zentrum_stabil,dio_mcm_episode_1eju9g0,dio_mcm_episode_1xx3u1e,0.000508,0.000654,-0.002763,0.003013,0.003195,0.017089
dio_mcm_episode_0e7qvj1,hoeherer_cluster_uebergang,hoeherer_cluster_uebergang,stabil,7519,9806,2287,3,5,2,zentrum_stabil,zentrum_stabil,dio_mcm_episode_18l3thm,dio_mcm_episode_1jwnjz4,-0.000743,-0.000791,0.001661,-0.001845,-0.003973,-0.00409
dio_mcm_episode_0ko7wqc,stabile_bedeutungsinsel,stabile_bedeutungsinsel,stabil,1789,97,-1692,2,1,-1,zentrum_stabil,zentrum_stabil,dio_mcm_episode_1ahj81f,dio_mcm_episode_1ahj81f,-0.01856,0.00261,-0.001052,-0.001424,-0.004016,-0.003362
dio_mcm_episode_0b7nep9,hoeherer_cluster_uebergang,hoeherer_cluster_uebergang,stabil,3050,4573,1523,3,3,0,zentrum_stabil,zentrum_stabil,dio_mcm_episode_0ykar6i,dio_mcm_episode_0ykar6i,-0.002208,0.001233,-0.003331,0.005192,0.012159,-0.002937
dio_mcm_episode_0dgle71,stabile_bedeutungsinsel,stabile_bedeutungsinsel,stabil,115,1336,1221,1,1,0,zentrum_stabil,zentrum_stabil,dio_mcm_episode_1pmt8u2,dio_mcm_episode_1jx2k4i,0.009633,-0.00637,0.013403,-0.001477,-0.003695,-0.02657
dio_mcm_episode_1t42af6,stabile_bedeutungsinsel,stabile_bedeutungsinsel,stabil,437,41,-396,2,2,0,zentrum_stabil,zentrum_stabil,dio_mcm_episode_1ahj81f,dio_mcm_episode_1ahj81f,-0.024169,0.01535,-0.006994,0.026525,0.062938,-0.008349
dio_mcm_episode_0w4x7xs,stabile_bedeutungsinsel,stabile_bedeutungsinsel,stabil,48,403,355,1,1,0,zentrum_stabil,zentrum_stabil,dio_mcm_episode_0b7nep9,dio_mcm_episode_0geqqo3,-0.00406,0.004073,-0.00685,0.006824,0.016353,0.016773
dio_mcm_episode_1ahj81f,stabile_bedeutungsinsel,stabile_bedeutungsinsel,stabil,565,850,285,4,5,1,zentrum_stabil,zentrum_stabil,dio_mcm_episode_0ko7wqc,dio_mcm_episode_1jx2k4i,0.001295,-0.001338,-0.002721,-0.006069,-0.01225,0.009951
dio_mcm_episode_1eju9g0,stabile_bedeutungsinsel,stabile_bedeutungsinsel,stabil,327,90,-237,1,1,0,zentrum_stabil,zentrum_stabil,dio_mcm_episode_0b7nep9,dio_mcm_episode_0ybr5e3,0.005841,0.006317,0.003352,0.023631,0.051225,-0.010835
dio_mcm_episode_1jwnjz4,stabile_bedeutungsinsel,stabile_bedeutungsinsel,stabil,471,514,43,2,2,0,zentrum_stabil,zentrum_stabil,dio_mcm_episode_0e7qvj1,dio_mcm_episode_0e7qvj1,0.007976,-0.002824,0.007199,0.000806,0.006043,-0.017192
dio_mcm_episode_1joiyc3,hoeherer_cluster_uebergang,hoeherer_cluster_uebergang,stabil,4629,4604,-25,3,6,3,zentrum_stabil,zentrum_stabil,dio_mcm_episode_1jx2k4i,dio_mcm_episode_1jx2k4i,-0.008699,0.003876,-0.00732,-0.00172,-0.005999,0.022425
dio_mcm_episode_17c7qwp,stabile_bedeutungsinsel,stabile_bedeutungsinsel,stabil,32,50,18,1,1,0,zentrum_stabil,zentrum_stabil,dio_mcm_episode_1eju9g0,dio_mcm_episode_00nzcuc,0.005145,0.004661,-0.003833,0.019069,0.030746,0.054328
dio_mcm_episode_17rahh6,stabile_bedeutungsinsel,stabile_bedeutungsinsel,stabil,8,18,10,1,1,0,zentrum_stabil,zentrum_stabil,dio_mcm_episode_17c7qwp,dio_mcm_episode_17c7qwp,0.009612,0.001012,0.011586,0.014561,0.035615,-0.035223
dio_mcm_episode_17i4j9o,stabile_bedeutungsinsel,stabile_bedeutungsinsel,stabil,30,22,-8,2,3,1,zentrum_stabil,zentrum_stabil,dio_mcm_episode_1ahj81f,dio_mcm_episode_0nuo9k1,0.002494,-0.000255,-0.004672,0.000893,0.005178,-0.023488
dio_mcm_episode_08lp0ua,rekopplungszone,rekopplungszone,stabil,3269,3263,-6,2,2,0,zentrum_stabil,zentrum_stabil,dio_mcm_episode_0qvodoj,dio_mcm_episode_0qvodoj,0.0,-4e-05,-1.5e-05,1.8e-05,3.2e-05,4e-05
dio_mcm_episode_0qvodoj,rekopplungszone,rekopplungszone,stabil,6302,6308,6,3,3,0,zentrum_stabil,zentrum_stabil,dio_mcm_episode_0w96mqy,dio_mcm_episode_0w96mqy,2.4e-05,-4.3e-05,9e-06,0.0,3e-06,-6e-06
dio_mcm_episode_0wjn8vm,hoeherer_cluster_uebergang,hoeherer_cluster_uebergang,stabil,2172,2166,-6,2,2,0,zentrum_stabil,zentrum_stabil,dio_mcm_episode_1engxbn,dio_mcm_episode_1engxbn,-3.8e-05,-1.2e-05,-6.8e-05,5.7e-05,0.000126,0.000229
dio_mcm_episode_1engxbn,rekopplungszone,rekopplungszone,stabil,1768,1774,6,2,2,0,zentrum_stabil,zentrum_stabil,dio_mcm_episode_0wjn8vm,dio_mcm_episode_0wjn8vm,-2e-06,-2.5e-05,-2.7e-05,5.3e-05,9.1e-05,6e-06
dio_mcm_episode_19w1n2u,rekopplungszone,rekopplungszone,stabil,12,9,-3,4,3,-1,zentrum_stabil,zentrum_stabil,dio_mcm_episode_010cbbb,dio_mcm_episode_010cbbb,0.011077,-0.011126,0.012188,-0.021415,-0.044598,-0.009841
dio_mcm_episode_03efwme,rekopplungszone,rekopplungszone,stabil,4,6,2,2,2,0,zentrum_stabil,zentrum_stabil,dio_mcm_episode_028a6an,dio_mcm_episode_077r0df,-0.011523,0.018713,-0.019428,0.041152,0.097115,0.003763
dio_mcm_episode_0mm85pw,randnahe_verdichtung,randnahe_verdichtung,stabil,2,4,2,2,3,1,spannungsrand_kippnaehe,spannungsrand_kippnaehe,dio_mcm_episode_0ifxej6,dio_mcm_episode_05ijhg4,0.004944,-0.007215,0.015443,0.001548,0.004916,-0.046669
dio_mcm_episode_0mw7rev,randnahe_verdichtung,randnahe_verdichtung,stabil,4,2,-2,2,2,0,spannungsrand_kippnaehe,spannungsrand_kippnaehe,dio_mcm_episode_0ixmssr,dio_mcm_episode_0mvjoir,0.002221,0.000711,0.011138,0.015051,0.012833,-0.097515
dio_mcm_episode_1b3r4if,rekopplungszone,rekopplungszone,stabil,6,4,-2,3,3,0,zentrum_stabil,zentrum_stabil,dio_mcm_episode_0jatqr8,dio_mcm_episode_0jatqr8,7.2e-05,0.002132,-0.004922,-0.008772,-0.018648,0.076389
dio_mcm_episode_1xm3b1l,rekopplungszone,rekopplungszone,stabil,7,9,2,3,3,0,zentrum_stabil,zentrum_stabil,dio_mcm_episode_1464n8q,dio_mcm_episode_03efwme,0.005344,-0.001612,0.009904,0.004641,0.006821,-0.012075
dio_mcm_episode_1yzsm16,offene_bedeutungszone,offene_bedeutungszone,stabil,2,4,2,2,3,1,zentrum_stabil,zentrum_stabil,dio_mcm_episode_00i7zy5,dio_mcm_episode_00i7zy5,0.000853,-0.000764,0.003625,0.002081,0.003392,-0.003304
dio_mcm_episode_0jbl5pq,hoeherer_cluster_uebergang,hoeherer_cluster_uebergang,stabil,13,12,-1,2,3,1,zentrum_stabil,zentrum_stabil,dio_mcm_episode_0qzjuvj,dio_mcm_episode_0qzjuvj,0.01391,-0.003738,-0.000812,-0.041721,-0.088091,-0.089857
dio_mcm_episode_0k1pid9,rekopplungszone,rekopplungszone,stabil,3,4,1,2,3,1,zentrum_stabil,zentrum_stabil,dio_mcm_episode_1yy9dcm,dio_mcm_episode_1yy9dcm,-0.014362,0.00317,-0.014234,0.015542,0.030522,0.019992
dio_mcm_episode_0krixak,stabile_bedeutungsinsel,stabile_bedeutungsinsel,stabil,8,7,-1,4,4,0,zentrum_stabil,zentrum_stabil,dio_mcm_episode_0w4721p,dio_mcm_episode_0w4721p,-0.001037,0.000638,0.003099,-0.000283,1.7e-05,-0.004355
dio_mcm_episode_0w96mqy,rekopplungszone,rekopplungszone,stabil,10,11,1,3,4,1,zentrum_stabil,zentrum_stabil,dio_mcm_episode_0bvwbpb,dio_mcm_episode_0bvwbpb,-0.000792,-0.000295,-0.000849,0.001572,0.003402,0.00191
dio_mcm_episode_1v9dvrl,offene_bedeutungszone,offene_bedeutungszone,stabil,3,2,-1,1,1,0,zentrum_stabil,zentrum_stabil,dio_mcm_episode_1qqnvqf,dio_mcm_episode_1n2f96o,0.008166,0.006698,0.017305,0.044797,0.12303,-0.089921
dio_mcm_episode_010cbbb,rekopplungszone,rekopplungszone,stabil,7,7,0,3,3,0,zentrum_stabil,zentrum_stabil,dio_mcm_episode_1h8m18g,dio_mcm_episode_1h8m18g,1.5e-05,-3.4e-05,3e-06,0.0,0.0,0.0
dio_mcm_episode_090tkc9,rekopplungszone,rekopplungszone,stabil,4,4,0,2,2,0,zentrum_stabil,zentrum_stabil,dio_mcm_episode_09at618,dio_mcm_episode_09at618,1.5e-05,-3.5e-05,3e-06,0.0,0.0,0.0
dio_mcm_episode_09at618,rekopplungszone,rekopplungszone,stabil,2,2,0,1,1,0,zentrum_stabil,zentrum_stabil,dio_mcm_episode_0w9dwz3,dio_mcm_episode_0w9dwz3,1.6e-05,-3.6e-05,4e-06,0.0,0.0,0.0
dio_mcm_episode_0bvwbpb,rekopplungszone,rekopplungszone,stabil,15,15,0,3,3,0,zentrum_stabil,zentrum_stabil,dio_mcm_episode_0i5k3i8,dio_mcm_episode_0i5k3i8,1.9e-05,-4.1e-05,5e-06,0.0,0.0,0.0
dio_mcm_episode_0cpmq8e,rekopplungszone,rekopplungszone,stabil,2,2,0,1,1,0,zentrum_stabil,zentrum_stabil,dio_mcm_episode_1ydep5d,dio_mcm_episode_1ydep5d,1.5e-05,-3.4e-05,3e-06,0.0,0.0,0.0
dio_mcm_episode_0d9qets,rekopplungszone,rekopplungszone,stabil,97,97,0,3,3,0,zentrum_stabil,zentrum_stabil,dio_mcm_episode_1v8o9kh,dio_mcm_episode_1v8o9kh,1.8e-05,-3.8e-05,4e-06,0.0,0.0,0.0
