token,world,segment,start_tick,end_tick,duration,before_direction,current_direction,after_direction,current_top_family,current_top_effect,current_top_role,before_loudness,current_loudness,after_loudness,before_visual_blur,current_visual_blur,after_visual_blur,before_rekopplung,current_rekopplung,after_rekopplung,before_strain,current_strain,after_strain,before_tension,current_tension,after_tension,before_sensory,current_sensory,after_sensory
dio_mcm_episode_14l8khu,SYNTH_RAND,1,1576,1786,211,seitwaerts,seitwaerts,seitwaerts,dio_1v2w,tragend_unruhig,inner_effect_carried_unrest,0.234138,0.270353,0.306248,0.499962,0.469948,0.469009,0.688467,0.673296,0.673992,0.163241,0.180748,0.183556,0.120677,0.13219,0.144876,0.81094,0.79429,0.783448
dio_mcm_episode_14l8khu,XRP_2025_5M,1,7128,7141,14,seitwaerts,seitwaerts,seitwaerts,dio_104t,stabil,inner_effect_stable,0.231277,0.18527,0.198488,0.326851,0.296972,0.267567,0.714521,0.721734,0.722203,0.150078,0.141189,0.137832,0.116356,0.095258,0.101055,0.848034,0.862398,0.870396
dio_mcm_episode_14l8khu,XRP_2025_5M,2,9408,9424,17,seitwaerts,seitwaerts,seitwaerts,dio_04uf,stabil,inner_effect_stable,0.267346,0.211427,0.224061,0.396947,0.357057,0.54762,0.696205,0.703573,0.657316,0.17058,0.154613,0.188989,0.132074,0.107839,0.123539,0.809059,0.828056,0.755944
dio_mcm_episode_1q3us3f,DOGE_2024_5M,1,421,425,5,seitwaerts,seitwaerts,seitwaerts,dio_14wj,stabil,inner_effect_stable,0.148079,0.189687,0.186806,0.351004,0.369675,0.331846,0.70452,0.701023,0.695396,0.145515,0.138632,0.154945,0.082834,0.099053,0.09677,0.846769,0.856325,0.844314
dio_mcm_episode_1q3us3f,DOGE_2024_5M,2,428,428,1,seitwaerts,seitwaerts,seitwaerts,dio_1rqi,stabil,inner_effect_stable,0.170813,0.130908,0.165959,0.35553,0.19009,0.356779,0.701138,0.680686,0.703501,0.145893,0.143453,0.148038,0.090702,0.070981,0.08784,0.846253,0.897406,0.846047
dio_mcm_episode_1q3us3f,DOGE_2024_5M,3,453,457,5,seitwaerts,seitwaerts,seitwaerts,dio_1rja,stabil,inner_effect_stable,0.19873,0.278651,0.284708,0.292471,0.325491,0.413353,0.697652,0.684278,0.657357,0.146949,0.161908,0.188161,0.09994,0.136134,0.140653,0.851288,0.853406,0.796331
dio_mcm_episode_1q3us3f,DOGE_2025_5M,1,2903,3175,273,seitwaerts,seitwaerts,seitwaerts,dio_104t,stabil,inner_effect_stable,0.100539,0.204109,0.208695,0.288528,0.304185,0.296114,0.728722,0.714512,0.716552,0.126069,0.144466,0.143455,0.056513,0.102538,0.104077,0.875861,0.85676,0.861837
dio_mcm_episode_1q3us3f,DOGE_2025_5M,2,3177,3184,8,seitwaerts,seitwaerts,seitwaerts,dio_1772,stabil,inner_effect_stable,0.165031,0.180131,0.165281,0.234241,0.312425,0.274892,0.722077,0.718341,0.720308,0.129635,0.143933,0.135963,0.082411,0.091883,0.084477,0.879846,0.856349,0.868385
dio_mcm_episode_1q3us3f,PAXG_2024_5M,1,1085,1714,630,seitwaerts,seitwaerts,seitwaerts,dio_14wj,stabil,inner_effect_stable,0.122412,0.20176,0.280655,0.331373,0.33751,0.323832,0.71283,0.709647,0.698833,0.13199,0.150287,0.163173,0.069804,0.104741,0.138541,0.862623,0.852674,0.839008
dio_mcm_episode_1q3us3f,PAXG_2024_5M,2,1716,1722,7,seitwaerts,seitwaerts,seitwaerts,dio_1tiu,stabil,inner_effect_stable,0.252349,0.173759,0.330574,0.319528,0.314074,0.321149,0.697777,0.718223,0.693298,0.158995,0.141824,0.167417,0.127172,0.090174,0.157964,0.840567,0.86212,0.836102
dio_mcm_episode_1q3us3f,SYNTH_RAND,1,1787,1805,19,seitwaerts,seitwaerts,seitwaerts,dio_0cky,tragend_unruhig,inner_effect_carried_unrest,0.284005,0.307525,0.390336,0.451719,0.441781,0.380668,0.683068,0.671081,0.652465,0.179556,0.185474,0.19892,0.136707,0.145037,0.181927,0.79488,0.7881,0.781966
dio_mcm_episode_1q3us3f,SYNTH_RAND,2,2239,2648,410,seitwaerts,seitwaerts,seitwaerts,dio_0pz6,stabil,inner_effect_stable,0.04422,0.138036,0.165931,0.175697,0.193136,0.201001,0.748747,0.728019,0.73049,0.118361,0.132033,0.138453,0.02978,0.074277,0.083733,0.913026,0.892078,0.884942
dio_mcm_episode_1q3us3f,XRP_2024_5M,1,1946,1965,20,seitwaerts,seitwaerts,seitwaerts,dio_0m9z,stabil,inner_effect_stable,0.156777,0.237442,0.201424,0.31757,0.289931,0.324385,0.717742,0.707548,0.715806,0.140813,0.151317,0.152796,0.082119,0.116487,0.100333,0.85601,0.852666,0.843468
dio_mcm_episode_1q3us3f,XRP_2024_5M,2,1970,1970,1,seitwaerts,seitwaerts,seitwaerts,dio_0l7p,stabil,inner_effect_stable,0.232784,0.082914,0.256165,0.332827,0.340878,0.322202,0.710653,0.733926,0.708491,0.155101,0.129997,0.157082,0.113752,0.052518,0.123933,0.841062,0.865785,0.841861
dio_mcm_episode_1q3us3f,XRP_2024_5M,3,1974,1974,1,seitwaerts,seitwaerts,seitwaerts,dio_17ct,stabil,inner_effect_stable,0.213212,0.19271,0.2481,0.33495,0.263656,0.333583,0.714356,0.725277,0.702913,0.15351,0.136507,0.161277,0.105352,0.092934,0.122821,0.841539,0.881954,0.835516
dio_mcm_episode_1q3us3f,XRP_2025_5M,1,2891,2892,2,seitwaerts,seitwaerts,seitwaerts,dio_0n0i,stabil,inner_effect_stable,0.201494,0.161313,0.229951,0.277429,0.275251,0.331165,0.717137,0.687087,0.714108,0.136945,0.144914,0.151532,0.100181,0.081678,0.114546,0.869517,0.872073,0.848712
dio_mcm_episode_1q3us3f,XRP_2025_5M,2,2897,2897,1,seitwaerts,seitwaerts,seitwaerts,dio_0z9t,stabil,inner_effect_stable,0.220155,0.231702,0.198372,0.29586,0.214089,0.317398,0.709991,0.722825,0.716401,0.14451,0.137621,0.14881,0.109066,0.116003,0.100207,0.864898,0.876409,0.850206
dio_mcm_episode_1q3us3f,XRP_2025_5M,3,2899,2899,1,seitwaerts,seitwaerts,seitwaerts,dio_0pz6,stabil,inner_effect_stable,0.208735,0.185316,0.223909,0.289614,0.300567,0.320967,0.71104,0.723981,0.712071,0.142398,0.139925,0.152624,0.104961,0.088308,0.1125,0.865795,0.871024,0.845742
dio_mcm_episode_1q3us3f,XRP_2025_5M,4,2906,2906,1,seitwaerts,seitwaerts,seitwaerts,dio_155c,stabil,inner_effect_stable,0.212812,0.197407,0.288779,0.32881,0.332316,0.298947,0.714931,0.729793,0.701398,0.14961,0.14036,0.160646,0.107665,0.099955,0.139671,0.849374,0.869803,0.838809
dio_mcm_episode_1q3us3f,XRP_2025_5M,5,2908,2909,2,seitwaerts,seitwaerts,seitwaerts,dio_1rx4,stabil,inner_effect_stable,0.211907,0.185663,0.307008,0.31477,0.291474,0.29321,0.715801,0.71287,0.699042,0.149823,0.137553,0.16086,0.107409,0.091064,0.148391,0.850234,0.864069,0.841044
dio_mcm_episode_1q3us3f,XRP_2025_5M,6,2915,2915,1,seitwaerts,seitwaerts,seitwaerts,dio_06er,stabil,inner_effect_stable,0.217904,0.084244,0.314589,0.313334,0.273048,0.300085,0.713554,0.732075,0.696325,0.150366,0.125792,0.16266,0.109127,0.045475,0.151443,0.85021,0.876306,0.840931
dio_mcm_episode_1q3us3f,XRP_2025_5M,7,3101,3136,36,seitwaerts,seitwaerts,seitwaerts,dio_104t,stabil,inner_effect_stable,0.191069,0.243427,0.212619,0.395709,0.348931,0.35931,0.699555,0.693245,0.706646,0.146147,0.164073,0.151733,0.100798,0.120778,0.106096,0.845807,0.829279,0.83677
dio_mcm_episode_1q3us3f,XRP_2025_5M,8,3143,3143,1,seitwaerts,seitwaerts,seitwaerts,dio_0kx9,stabil,inner_effect_stable,0.253651,0.041002,0.190222,0.393926,0.246705,0.37879,0.694595,0.737787,0.706314,0.165848,0.10999,0.153201,0.122041,0.029518,0.10281,0.821609,0.897506,0.829348
dio_mcm_episode_1q3us3f,XRP_2025_5M,9,3166,3167,2,seitwaerts,seitwaerts,seitwaerts,dio_06er,stabil,inner_effect_stable,0.122934,0.079541,0.218358,0.294642,0.2864,0.325031,0.723573,0.746229,0.706453,0.134544,0.130126,0.14909,0.06776,0.049925,0.110072,0.864683,0.886124,0.847166
dio_mcm_episode_1q3us3f,XRP_2025_5M,10,3176,3176,1,seitwaerts,seitwaerts,seitwaerts,dio_0kx9,stabil,inner_effect_stable,0.218502,0.036435,0.14646,0.293866,0.290334,0.31987,0.714716,0.735814,0.717972,0.148819,0.110798,0.138136,0.108163,0.030085,0.078681,0.857119,0.89002,0.864782
dio_mcm_episode_1q3us3f,XRP_2025_5M,11,3179,3499,321,seitwaerts,seitwaerts,seitwaerts,dio_0l7p,stabil,inner_effect_stable,0.223013,0.200782,0.228353,0.328317,0.326388,0.32965,0.7085,0.712843,0.702237,0.151454,0.147931,0.157725,0.112914,0.10213,0.113764,0.847724,0.8501,0.839565
dio_mcm_episode_1q3us3f,XRP_2025_5M,12,3521,3521,1,seitwaerts,seitwaerts,seitwaerts,dio_06s7,stabil,inner_effect_stable,0.17958,0.116093,0.277916,0.29163,0.29551,0.299131,0.722726,0.73145,0.698927,0.143038,0.123947,0.156951,0.089335,0.060178,0.133391,0.861787,0.87853,0.845455
dio_mcm_episode_1q3us3f,XRP_2025_5M,13,3523,3532,10,seitwaerts,seitwaerts,seitwaerts,dio_0949,stabil,inner_effect_stable,0.175297,0.269697,0.257095,0.292041,0.310452,0.266662,0.723395,0.6991,0.701442,0.142613,0.152648,0.15983,0.087757,0.129321,0.124612,0.861268,0.851923,0.842827
dio_mcm_episode_1q3us3f,XRP_2025_5M,14,3534,3536,3,seitwaerts,seitwaerts,seitwaerts,dio_1rqi,stabil,inner_effect_stable,0.277916,0.155773,0.273534,0.299131,0.196582,0.317665,0.698927,0.722134,0.696949,0.156951,0.131963,0.165127,0.133391,0.07994,0.132225,0.845455,0.878691,0.832582
dio_mcm_episode_1xx3u1e,DOGE_2024_5M,1,5369,5377,9,seitwaerts,seitwaerts,seitwaerts,dio_02el,stabil,inner_effect_stable,0.219665,0.231139,0.205288,0.412816,0.429918,0.408403,0.700938,0.688021,0.685487,0.157191,0.16742,0.161136,0.114687,0.117577,0.11137,0.823946,0.808849,0.81223
dio_mcm_episode_1xx3u1e,PAXG_2025_5M,1,6167,6188,22,seitwaerts,seitwaerts,seitwaerts,dio_1fll,stabil,inner_effect_stable,0.18228,0.15053,0.294097,0.324811,0.312458,0.362049,0.722926,0.734036,0.687632,0.141232,0.140248,0.169777,0.092338,0.081352,0.141379,0.859336,0.868508,0.821075
dio_mcm_episode_1xx3u1e,PAXG_2025_5M,2,6192,6199,8,seitwaerts,seitwaerts,seitwaerts,dio_033x,tragend_unruhig,inner_effect_carried_unrest,0.147482,0.322462,0.287163,0.259599,0.414434,0.328735,0.734349,0.678214,0.68064,0.131584,0.181696,0.175704,0.078094,0.1524,0.142176,0.882392,0.804439,0.822554
dio_mcm_episode_1xx3u1e,PAXG_2025_5M,3,6334,6335,2,seitwaerts,seitwaerts,seitwaerts,dio_1fll,stabil,inner_effect_stable,0.19604,0.044249,0.270972,0.284348,0.18717,0.370007,0.72001,0.751046,0.704199,0.145119,0.117643,0.169313,0.100117,0.028062,0.132865,0.857159,0.908714,0.825569
dio_mcm_episode_1xx3u1e,PAXG_2025_5M,4,6341,6343,3,seitwaerts,seitwaerts,seitwaerts,dio_104t,stabil,inner_effect_stable,0.181805,0.14149,0.262454,0.304793,0.354426,0.372184,0.721811,0.72977,0.700147,0.144297,0.136567,0.173055,0.092726,0.080175,0.130715,0.858239,0.867352,0.818661
dio_mcm_episode_1xx3u1e,PAXG_2025_5M,5,6390,6393,4,seitwaerts,seitwaerts,seitwaerts,dio_1fll,stabil,inner_effect_stable,0.129003,0.168741,0.128385,0.312856,0.330087,0.268848,0.730407,0.726681,0.730789,0.138277,0.145138,0.135925,0.07294,0.088004,0.068401,0.865295,0.858862,0.868214
dio_mcm_episode_1xx3u1e,PAXG_2025_5M,6,6395,6652,258,seitwaerts,seitwaerts,seitwaerts,dio_104t,stabil,inner_effect_stable,0.175373,0.186837,0.120739,0.307164,0.326606,0.274179,0.724093,0.715302,0.718286,0.14851,0.146022,0.135867,0.091996,0.096838,0.068564,0.854247,0.851401,0.866414
dio_mcm_episode_1xx3u1e,PAXG_2025_5M,7,6661,6828,168,seitwaerts,seitwaerts,seitwaerts,dio_104t,stabil,inner_effect_stable,0.176067,0.189734,0.269618,0.269961,0.350958,0.373905,0.701569,0.714527,0.703031,0.151278,0.148056,0.15441,0.092216,0.099302,0.132873,0.847896,0.846464,0.840213
dio_mcm_episode_1xx3u1e,PAXG_2025_5M,8,6834,6836,3,seitwaerts,seitwaerts,seitwaerts,dio_0h9h,stabil,inner_effect_stable,0.237009,0.188701,0.308736,0.389681,0.33238,0.424914,0.707156,0.721355,0.694682,0.151233,0.138991,0.166808,0.122212,0.093584,0.153798,0.843011,0.86377,0.82021
dio_mcm_episode_1xx3u1e,PAXG_2025_5M,9,6923,6936,14,seitwaerts,seitwaerts,seitwaerts,dio_1kpz,stabil,inner_effect_stable,0.127407,0.190688,0.171628,0.281525,0.307367,0.312027,0.736016,0.71679,0.72065,0.131872,0.144236,0.139114,0.071083,0.095968,0.089517,0.87905,0.852451,0.865194
dio_mcm_episode_1xx3u1e,PAXG_2025_5M,10,6940,6940,1,seitwaerts,seitwaerts,seitwaerts,dio_104t,stabil,inner_effect_stable,0.237894,0.140449,0.149992,0.330415,0.315659,0.284321,0.71233,0.731762,0.726076,0.153445,0.135775,0.134889,0.117062,0.072538,0.079302,0.845221,0.868578,0.872765
dio_mcm_episode_1xx3u1e,PAXG_2025_5M,11,6944,6944,1,seitwaerts,seitwaerts,seitwaerts,dio_1lsu,stabil,inner_effect_stable,0.242428,0.194025,0.152654,0.342605,0.353343,0.29284,0.710972,0.726864,0.724797,0.153434,0.135638,0.135535,0.120571,0.100348,0.079065,0.845762,0.867471,0.869017
dio_mcm_episode_1xx3u1e,PAXG_2025_5M,12,6948,8192,1245,seitwaerts,seitwaerts,seitwaerts,dio_14wj,stabil,inner_effect_stable,0.213801,0.176991,0.130589,0.334455,0.319592,0.354009,0.711607,0.723787,0.722813,0.148137,0.144621,0.140841,0.108163,0.092989,0.074492,0.850607,0.859186,0.850241
dio_mcm_episode_1xx3u1e,PAXG_2025_5M,13,8207,9437,1231,seitwaerts,seitwaerts,seitwaerts,dio_104t,stabil,inner_effect_stable,0.084294,0.184696,0.225711,0.342221,0.334864,0.624938,0.734485,0.716824,0.636358,0.133872,0.148378,0.206597,0.053747,0.096632,0.130342,0.864863,0.850546,0.747282
dio_mcm_episode_1xx3u1e,XRP_2024_5M,1,8088,8089,2,seitwaerts,seitwaerts,seitwaerts,dio_1350,stabil,inner_effect_stable,0.150576,0.127385,0.170882,0.277458,0.299237,0.310344,0.724944,0.730765,0.721671,0.135862,0.127165,0.140881,0.077977,0.066073,0.091616,0.866502,0.877903,0.858867
dio_mcm_episode_1xx3u1e,XRP_2024_5M,2,8100,8100,1,seitwaerts,seitwaerts,seitwaerts,dio_1u5i,stabil,inner_effect_stable,0.171996,0.01148,0.159896,0.298257,0.385902,0.267834,0.722552,0.729057,0.728375,0.140027,0.122264,0.133967,0.090827,0.031503,0.082142,0.861618,0.856145,0.872491
dio_mcm_episode_1xx3u1e,XRP_2024_5M,3,8161,8161,1,seitwaerts,seitwaerts,seitwaerts,dio_00hc,tragend_unruhig,inner_effect_carried_unrest,0.280722,0.755141,0.226499,0.37242,0.315433,0.337845,0.704037,0.612459,0.711606,0.163997,0.272968,0.153992,0.136687,0.33932,0.1118,0.83482,0.669219,0.839832
dio_mcm_episode_1xx3u1e,XRP_2024_5M,4,8163,8166,4,seitwaerts,seitwaerts,seitwaerts,dio_0h9h,stabil,inner_effect_stable,0.343062,0.228198,0.25268,0.372272,0.323881,0.347495,0.691874,0.714967,0.703204,0.176696,0.151965,0.160675,0.16256,0.114054,0.122987,0.817241,0.845811,0.827262
dio_mcm_episode_1xx3u1e,XRP_2024_5M,5,8168,8176,9,seitwaerts,seitwaerts,seitwaerts,dio_0m9z,stabil,inner_effect_stable,0.329075,0.274929,0.195585,0.367064,0.363821,0.273363,0.694232,0.698249,0.720059,0.16993,0.166104,0.143511,0.156915,0.132354,0.097533,0.824949,0.817672,0.861971
dio_mcm_episode_1xx3u1e,XRP_2024_5M,6,8178,8203,26,seitwaerts,seitwaerts,seitwaerts,dio_17ct,stabil,inner_effect_stable,0.257982,0.215294,0.168299,0.353469,0.295177,0.290908,0.702053,0.719323,0.72551,0.163545,0.143908,0.138752,0.124968,0.106649,0.084072,0.822574,0.861151,0.865725
