token,short_token,L894_class,L894_weight,L894_duration,L894_world_span,L901_class,L901_weight,L901_duration,L901_world_span,L911_class,L911_weight,L911_duration,L911_world_span,class_sequence,weight_sequence,duration_sequence,world_span_sequence,trend,max_rank,weight_delta_total
dio_mcm_episode_14l8khu,14l8khu,-,0,0.000000,0,lokaler_anschlussanker,13,37.461539,2,lokaler_anschlussanker,22,100.954545,3,- -> lokaler_anschlussanker -> lokaler_anschlussanker,0 -> 13 -> 22,0.00 -> 37.46 -> 100.95,0 -> 2 -> 3,aufsteigende_verdichtung,2,22
dio_mcm_episode_1al8fjz,1al8fjz,schwacher_anschluss,6,1.666667,2,lokaler_anschlussanker,14,1.571429,4,lokaler_anschlussanker,14,1.571429,4,schwacher_anschluss -> lokaler_anschlussanker -> lokaler_anschlussanker,6 -> 14 -> 14,1.67 -> 1.57 -> 1.57,2 -> 4 -> 4,aufsteigende_verdichtung,2,8
dio_mcm_episode_0geqqo3,0geqqo3,schwacher_anschluss,11,16.090909,2,lokaler_anschlussanker,22,45.227273,2,schwacher_anschluss,4,20.500000,2,schwacher_anschluss -> lokaler_anschlussanker -> schwacher_anschluss,11 -> 22 -> 4,16.09 -> 45.23 -> 20.50,2 -> 2 -> 2,rollendrift,2,-7
dio_mcm_episode_0wjn8vm,0wjn8vm,-,0,0.000000,0,lokaler_anschlussanker,14,310.285714,2,schwacher_anschluss,2,67.500000,1,- -> lokaler_anschlussanker -> schwacher_anschluss,0 -> 14 -> 2,0.00 -> 310.29 -> 67.50,0 -> 2 -> 1,rollendrift,2,2
dio_mcm_episode_04s5k7g,04s5k7g,schwacher_anschluss,2,20.000000,1,-,0,0.000000,0,-,0,0.000000,0,schwacher_anschluss -> - -> -,2 -> 0 -> 0,20.00 -> 0.00 -> 0.00,1 -> 0 -> 0,absteigende_entlastung,1,-2
dio_mcm_episode_0h9ka55,0h9ka55,schwacher_anschluss,1,733.000000,1,-,0,0.000000,0,-,0,0.000000,0,schwacher_anschluss -> - -> -,1 -> 0 -> 0,733.00 -> 0.00 -> 0.00,1 -> 0 -> 0,absteigende_entlastung,1,-1
dio_mcm_episode_0jatqr8,0jatqr8,schwacher_anschluss,1,2.000000,1,-,0,0.000000,0,-,0,0.000000,0,schwacher_anschluss -> - -> -,1 -> 0 -> 0,2.00 -> 0.00 -> 0.00,1 -> 0 -> 0,absteigende_entlastung,1,-1
dio_mcm_episode_0jdgxa5,0jdgxa5,schwacher_anschluss,1,2007.000000,1,-,0,0.000000,0,-,0,0.000000,0,schwacher_anschluss -> - -> -,1 -> 0 -> 0,2007.00 -> 0.00 -> 0.00,1 -> 0 -> 0,absteigende_entlastung,1,-1
dio_mcm_episode_0ldenly,0ldenly,schwacher_anschluss,1,3.000000,1,-,0,0.000000,0,-,0,0.000000,0,schwacher_anschluss -> - -> -,1 -> 0 -> 0,3.00 -> 0.00 -> 0.00,1 -> 0 -> 0,absteigende_entlastung,1,-1
dio_mcm_episode_0mqw5s3,0mqw5s3,schwacher_anschluss,2,49.000000,1,-,0,0.000000,0,-,0,0.000000,0,schwacher_anschluss -> - -> -,2 -> 0 -> 0,49.00 -> 0.00 -> 0.00,1 -> 0 -> 0,absteigende_entlastung,1,-2
dio_mcm_episode_0n22aiv,0n22aiv,schwacher_anschluss,1,1753.000000,1,-,0,0.000000,0,-,0,0.000000,0,schwacher_anschluss -> - -> -,1 -> 0 -> 0,1753.00 -> 0.00 -> 0.00,1 -> 0 -> 0,absteigende_entlastung,1,-1
dio_mcm_episode_0rz7ra9,0rz7ra9,schwacher_anschluss,1,2034.000000,1,-,0,0.000000,0,-,0,0.000000,0,schwacher_anschluss -> - -> -,1 -> 0 -> 0,2034.00 -> 0.00 -> 0.00,1 -> 0 -> 0,absteigende_entlastung,1,-1
dio_mcm_episode_0sxikqi,0sxikqi,schwacher_anschluss,1,283.000000,1,-,0,0.000000,0,-,0,0.000000,0,schwacher_anschluss -> - -> -,1 -> 0 -> 0,283.00 -> 0.00 -> 0.00,1 -> 0 -> 0,absteigende_entlastung,1,-1
dio_mcm_episode_0tosxof,0tosxof,schwacher_anschluss,1,1972.000000,1,-,0,0.000000,0,-,0,0.000000,0,schwacher_anschluss -> - -> -,1 -> 0 -> 0,1972.00 -> 0.00 -> 0.00,1 -> 0 -> 0,absteigende_entlastung,1,-1
dio_mcm_episode_0vszw6h,0vszw6h,schwacher_anschluss,1,3.000000,1,-,0,0.000000,0,-,0,0.000000,0,schwacher_anschluss -> - -> -,1 -> 0 -> 0,3.00 -> 0.00 -> 0.00,1 -> 0 -> 0,absteigende_entlastung,1,-1
dio_mcm_episode_1ej5zl7,1ej5zl7,schwacher_anschluss,1,532.000000,1,-,0,0.000000,0,-,0,0.000000,0,schwacher_anschluss -> - -> -,1 -> 0 -> 0,532.00 -> 0.00 -> 0.00,1 -> 0 -> 0,absteigende_entlastung,1,-1
dio_mcm_episode_1fej2vb,1fej2vb,schwacher_anschluss,1,2034.000000,1,-,0,0.000000,0,-,0,0.000000,0,schwacher_anschluss -> - -> -,1 -> 0 -> 0,2034.00 -> 0.00 -> 0.00,1 -> 0 -> 0,absteigende_entlastung,1,-1
dio_mcm_episode_1ggl8cd,1ggl8cd,schwacher_anschluss,2,2011.000000,2,-,0,0.000000,0,-,0,0.000000,0,schwacher_anschluss -> - -> -,2 -> 0 -> 0,2011.00 -> 0.00 -> 0.00,2 -> 0 -> 0,absteigende_entlastung,1,-2
dio_mcm_episode_1nw8bq9,1nw8bq9,schwacher_anschluss,2,2.500000,1,-,0,0.000000,0,-,0,0.000000,0,schwacher_anschluss -> - -> -,2 -> 0 -> 0,2.50 -> 0.00 -> 0.00,1 -> 0 -> 0,absteigende_entlastung,1,-2
dio_mcm_episode_1q3u8v6,1q3u8v6,schwacher_anschluss,1,2.000000,1,-,0,0.000000,0,-,0,0.000000,0,schwacher_anschluss -> - -> -,1 -> 0 -> 0,2.00 -> 0.00 -> 0.00,1 -> 0 -> 0,absteigende_entlastung,1,-1
dio_mcm_episode_1rzvd1k,1rzvd1k,schwacher_anschluss,2,232.000000,1,-,0,0.000000,0,-,0,0.000000,0,schwacher_anschluss -> - -> -,2 -> 0 -> 0,232.00 -> 0.00 -> 0.00,1 -> 0 -> 0,absteigende_entlastung,1,-2
dio_mcm_episode_01s42m6,01s42m6,-,0,0.000000,0,schwacher_anschluss,4,161.750000,2,schwacher_anschluss,4,161.750000,2,- -> schwacher_anschluss -> schwacher_anschluss,0 -> 4 -> 4,0.00 -> 161.75 -> 161.75,0 -> 2 -> 2,aufsteigende_verdichtung,1,4
dio_mcm_episode_06ccuqv,06ccuqv,-,0,0.000000,0,schwacher_anschluss,2,2.000000,2,schwacher_anschluss,2,2.000000,2,- -> schwacher_anschluss -> schwacher_anschluss,0 -> 2 -> 2,0.00 -> 2.00 -> 2.00,0 -> 2 -> 2,aufsteigende_verdichtung,1,2
dio_mcm_episode_079228h,079228h,-,0,0.000000,0,schwacher_anschluss,1,1.000000,1,schwacher_anschluss,1,1.000000,1,- -> schwacher_anschluss -> schwacher_anschluss,0 -> 1 -> 1,0.00 -> 1.00 -> 1.00,0 -> 1 -> 1,aufsteigende_verdichtung,1,1
dio_mcm_episode_080f74u,080f74u,-,0,0.000000,0,schwacher_anschluss,1,3.000000,1,schwacher_anschluss,1,3.000000,1,- -> schwacher_anschluss -> schwacher_anschluss,0 -> 1 -> 1,0.00 -> 3.00 -> 3.00,0 -> 1 -> 1,aufsteigende_verdichtung,1,1
dio_mcm_episode_0ag2osp,0ag2osp,-,0,0.000000,0,schwacher_anschluss,1,1.000000,1,schwacher_anschluss,1,1.000000,1,- -> schwacher_anschluss -> schwacher_anschluss,0 -> 1 -> 1,0.00 -> 1.00 -> 1.00,0 -> 1 -> 1,aufsteigende_verdichtung,1,1
dio_mcm_episode_0apubpm,0apubpm,-,0,0.000000,0,-,0,0.000000,0,schwacher_anschluss,1,1.000000,1,- -> - -> schwacher_anschluss,0 -> 0 -> 1,0.00 -> 0.00 -> 1.00,0 -> 0 -> 1,aufsteigende_verdichtung,1,1
dio_mcm_episode_0d40zcv,0d40zcv,-,0,0.000000,0,schwacher_anschluss,1,88.000000,1,schwacher_anschluss,1,88.000000,1,- -> schwacher_anschluss -> schwacher_anschluss,0 -> 1 -> 1,0.00 -> 88.00 -> 88.00,0 -> 1 -> 1,aufsteigende_verdichtung,1,1
dio_mcm_episode_0dxi31r,0dxi31r,-,0,0.000000,0,schwacher_anschluss,1,2.000000,1,schwacher_anschluss,1,2.000000,1,- -> schwacher_anschluss -> schwacher_anschluss,0 -> 1 -> 1,0.00 -> 2.00 -> 2.00,0 -> 1 -> 1,aufsteigende_verdichtung,1,1
dio_mcm_episode_0htnihj,0htnihj,-,0,0.000000,0,-,0,0.000000,0,schwacher_anschluss,1,2.000000,1,- -> - -> schwacher_anschluss,0 -> 0 -> 1,0.00 -> 0.00 -> 2.00,0 -> 0 -> 1,aufsteigende_verdichtung,1,1
dio_mcm_episode_0i7gfxw,0i7gfxw,-,0,0.000000,0,-,0,0.000000,0,schwacher_anschluss,1,3.000000,1,- -> - -> schwacher_anschluss,0 -> 0 -> 1,0.00 -> 0.00 -> 3.00,0 -> 0 -> 1,aufsteigende_verdichtung,1,1
dio_mcm_episode_0jkg1dk,0jkg1dk,-,0,0.000000,0,schwacher_anschluss,1,1.000000,1,schwacher_anschluss,1,1.000000,1,- -> schwacher_anschluss -> schwacher_anschluss,0 -> 1 -> 1,0.00 -> 1.00 -> 1.00,0 -> 1 -> 1,aufsteigende_verdichtung,1,1
dio_mcm_episode_0jzhgzp,0jzhgzp,-,0,0.000000,0,schwacher_anschluss,1,2003.000000,1,schwacher_anschluss,1,2003.000000,1,- -> schwacher_anschluss -> schwacher_anschluss,0 -> 1 -> 1,0.00 -> 2003.00 -> 2003.00,0 -> 1 -> 1,aufsteigende_verdichtung,1,1
dio_mcm_episode_0ldht3x,0ldht3x,-,0,0.000000,0,schwacher_anschluss,1,1.000000,1,schwacher_anschluss,4,1.250000,3,- -> schwacher_anschluss -> schwacher_anschluss,0 -> 1 -> 4,0.00 -> 1.00 -> 1.25,0 -> 1 -> 3,aufsteigende_verdichtung,1,4
dio_mcm_episode_0li6lg1,0li6lg1,-,0,0.000000,0,schwacher_anschluss,2,243.000000,1,schwacher_anschluss,1,471.000000,1,- -> schwacher_anschluss -> schwacher_anschluss,0 -> 2 -> 1,0.00 -> 243.00 -> 471.00,0 -> 1 -> 1,aufsteigende_verdichtung,1,1
dio_mcm_episode_0mvjoir,0mvjoir,-,0,0.000000,0,-,0,0.000000,0,schwacher_anschluss,6,1.000000,1,- -> - -> schwacher_anschluss,0 -> 0 -> 6,0.00 -> 0.00 -> 1.00,0 -> 0 -> 1,aufsteigende_verdichtung,1,6
dio_mcm_episode_0n5sqpn,0n5sqpn,-,0,0.000000,0,-,0,0.000000,0,schwacher_anschluss,1,1.000000,1,- -> - -> schwacher_anschluss,0 -> 0 -> 1,0.00 -> 0.00 -> 1.00,0 -> 0 -> 1,aufsteigende_verdichtung,1,1
dio_mcm_episode_0qhiq5e,0qhiq5e,-,0,0.000000,0,-,0,0.000000,0,schwacher_anschluss,1,1.000000,1,- -> - -> schwacher_anschluss,0 -> 0 -> 1,0.00 -> 0.00 -> 1.00,0 -> 0 -> 1,aufsteigende_verdichtung,1,1
dio_mcm_episode_0qhs6nb,0qhs6nb,-,0,0.000000,0,-,0,0.000000,0,schwacher_anschluss,2,1.000000,1,- -> - -> schwacher_anschluss,0 -> 0 -> 2,0.00 -> 0.00 -> 1.00,0 -> 0 -> 1,aufsteigende_verdichtung,1,2
dio_mcm_episode_0r1o8ja,0r1o8ja,-,0,0.000000,0,-,0,0.000000,0,schwacher_anschluss,1,3.000000,1,- -> - -> schwacher_anschluss,0 -> 0 -> 1,0.00 -> 0.00 -> 3.00,0 -> 0 -> 1,aufsteigende_verdichtung,1,1
dio_mcm_episode_0sv0ru8,0sv0ru8,-,0,0.000000,0,schwacher_anschluss,1,3.000000,1,schwacher_anschluss,1,3.000000,1,- -> schwacher_anschluss -> schwacher_anschluss,0 -> 1 -> 1,0.00 -> 3.00 -> 3.00,0 -> 1 -> 1,aufsteigende_verdichtung,1,1
dio_mcm_episode_0t7i6fh,0t7i6fh,-,0,0.000000,0,schwacher_anschluss,1,578.000000,1,schwacher_anschluss,1,578.000000,1,- -> schwacher_anschluss -> schwacher_anschluss,0 -> 1 -> 1,0.00 -> 578.00 -> 578.00,0 -> 1 -> 1,aufsteigende_verdichtung,1,1
dio_mcm_episode_0tph7s0,0tph7s0,-,0,0.000000,0,schwacher_anschluss,2,600.000000,1,schwacher_anschluss,2,600.000000,1,- -> schwacher_anschluss -> schwacher_anschluss,0 -> 2 -> 2,0.00 -> 600.00 -> 600.00,0 -> 1 -> 1,aufsteigende_verdichtung,1,2
dio_mcm_episode_0u69u6w,0u69u6w,-,0,0.000000,0,schwacher_anschluss,1,1.000000,1,schwacher_anschluss,1,1.000000,1,- -> schwacher_anschluss -> schwacher_anschluss,0 -> 1 -> 1,0.00 -> 1.00 -> 1.00,0 -> 1 -> 1,aufsteigende_verdichtung,1,1
dio_mcm_episode_0ultars,0ultars,-,0,0.000000,0,-,0,0.000000,0,schwacher_anschluss,3,1.666667,2,- -> - -> schwacher_anschluss,0 -> 0 -> 3,0.00 -> 0.00 -> 1.67,0 -> 0 -> 2,aufsteigende_verdichtung,1,3
dio_mcm_episode_0vff3w6,0vff3w6,-,0,0.000000,0,-,0,0.000000,0,schwacher_anschluss,1,9.000000,1,- -> - -> schwacher_anschluss,0 -> 0 -> 1,0.00 -> 0.00 -> 9.00,0 -> 0 -> 1,aufsteigende_verdichtung,1,1
dio_mcm_episode_0vj3fzh,0vj3fzh,-,0,0.000000,0,-,0,0.000000,0,schwacher_anschluss,1,1.000000,1,- -> - -> schwacher_anschluss,0 -> 0 -> 1,0.00 -> 0.00 -> 1.00,0 -> 0 -> 1,aufsteigende_verdichtung,1,1
dio_mcm_episode_0xsq19y,0xsq19y,-,0,0.000000,0,schwacher_anschluss,1,1.000000,1,schwacher_anschluss,1,1.000000,1,- -> schwacher_anschluss -> schwacher_anschluss,0 -> 1 -> 1,0.00 -> 1.00 -> 1.00,0 -> 1 -> 1,aufsteigende_verdichtung,1,1
dio_mcm_episode_0y1i8dq,0y1i8dq,-,0,0.000000,0,-,0,0.000000,0,schwacher_anschluss,2,1.000000,1,- -> - -> schwacher_anschluss,0 -> 0 -> 2,0.00 -> 0.00 -> 1.00,0 -> 0 -> 1,aufsteigende_verdichtung,1,2
dio_mcm_episode_0ybhu2p,0ybhu2p,-,0,0.000000,0,-,0,0.000000,0,schwacher_anschluss,2,1.000000,1,- -> - -> schwacher_anschluss,0 -> 0 -> 2,0.00 -> 0.00 -> 1.00,0 -> 0 -> 1,aufsteigende_verdichtung,1,2
dio_mcm_episode_0zh3u1j,0zh3u1j,-,0,0.000000,0,schwacher_anschluss,1,832.000000,1,schwacher_anschluss,1,832.000000,1,- -> schwacher_anschluss -> schwacher_anschluss,0 -> 1 -> 1,0.00 -> 832.00 -> 832.00,0 -> 1 -> 1,aufsteigende_verdichtung,1,1
dio_mcm_episode_10mbxau,10mbxau,-,0,0.000000,0,schwacher_anschluss,1,1.000000,1,schwacher_anschluss,1,1.000000,1,- -> schwacher_anschluss -> schwacher_anschluss,0 -> 1 -> 1,0.00 -> 1.00 -> 1.00,0 -> 1 -> 1,aufsteigende_verdichtung,1,1
dio_mcm_episode_13cw75j,13cw75j,-,0,0.000000,0,schwacher_anschluss,1,1842.000000,1,schwacher_anschluss,1,1842.000000,1,- -> schwacher_anschluss -> schwacher_anschluss,0 -> 1 -> 1,0.00 -> 1842.00 -> 1842.00,0 -> 1 -> 1,aufsteigende_verdichtung,1,1
dio_mcm_episode_17eveju,17eveju,-,0,0.000000,0,schwacher_anschluss,1,931.000000,1,schwacher_anschluss,1,931.000000,1,- -> schwacher_anschluss -> schwacher_anschluss,0 -> 1 -> 1,0.00 -> 931.00 -> 931.00,0 -> 1 -> 1,aufsteigende_verdichtung,1,1
dio_mcm_episode_17rahh6,17rahh6,-,0,0.000000,0,-,0,0.000000,0,schwacher_anschluss,2,13.500000,1,- -> - -> schwacher_anschluss,0 -> 0 -> 2,0.00 -> 0.00 -> 13.50,0 -> 0 -> 1,aufsteigende_verdichtung,1,2
dio_mcm_episode_17wwyn1,17wwyn1,-,0,0.000000,0,-,0,0.000000,0,schwacher_anschluss,1,4.000000,1,- -> - -> schwacher_anschluss,0 -> 0 -> 1,0.00 -> 0.00 -> 4.00,0 -> 0 -> 1,aufsteigende_verdichtung,1,1
dio_mcm_episode_1a9sbfi,1a9sbfi,-,0,0.000000,0,schwacher_anschluss,1,1.000000,1,schwacher_anschluss,1,1.000000,1,- -> schwacher_anschluss -> schwacher_anschluss,0 -> 1 -> 1,0.00 -> 1.00 -> 1.00,0 -> 1 -> 1,aufsteigende_verdichtung,1,1
dio_mcm_episode_1aurt3q,1aurt3q,-,0,0.000000,0,schwacher_anschluss,1,3.000000,1,schwacher_anschluss,1,3.000000,1,- -> schwacher_anschluss -> schwacher_anschluss,0 -> 1 -> 1,0.00 -> 3.00 -> 3.00,0 -> 1 -> 1,aufsteigende_verdichtung,1,1
dio_mcm_episode_1ds636q,1ds636q,-,0,0.000000,0,schwacher_anschluss,3,41.000000,2,schwacher_anschluss,7,237.285714,2,- -> schwacher_anschluss -> schwacher_anschluss,0 -> 3 -> 7,0.00 -> 41.00 -> 237.29,0 -> 2 -> 2,aufsteigende_verdichtung,1,7
dio_mcm_episode_1eju9g0,1eju9g0,-,0,0.000000,0,schwacher_anschluss,20,42.150000,1,schwacher_anschluss,24,36.416667,1,- -> schwacher_anschluss -> schwacher_anschluss,0 -> 20 -> 24,0.00 -> 42.15 -> 36.42,0 -> 1 -> 1,aufsteigende_verdichtung,1,24
dio_mcm_episode_1gwv1sr,1gwv1sr,-,0,0.000000,0,-,0,0.000000,0,schwacher_anschluss,1,166.000000,1,- -> - -> schwacher_anschluss,0 -> 0 -> 1,0.00 -> 0.00 -> 166.00,0 -> 0 -> 1,aufsteigende_verdichtung,1,1
dio_mcm_episode_1hdvp5m,1hdvp5m,-,0,0.000000,0,schwacher_anschluss,1,532.000000,1,schwacher_anschluss,1,1.000000,1,- -> schwacher_anschluss -> schwacher_anschluss,0 -> 1 -> 1,0.00 -> 532.00 -> 1.00,0 -> 1 -> 1,aufsteigende_verdichtung,1,1
